ZIP_CODE,Positive,Negative,Probable,date
15521,196,449,127,2021-12-30
15522,1493,3402,640,2021-12-30
15530,749,1935,261,2021-12-30
15531,450,1239,220,2021-12-30
15533,133,341,87,2021-12-30
15534,79,163,63,2021-12-30
15535,207,419,107,2021-12-30
15536,34,134,28,2021-12-30
15537,975,2029,434,2021-12-30
15538,75,188,29,2021-12-30
15539,81,161,44,2021-12-30
15541,433,1124,161,2021-12-30
15542,153,360,43,2021-12-30
15545,316,569,140,2021-12-30
15546,46,121,18,2021-12-30
15550,194,415,97,2021-12-30
15552,884,2072,227,2021-12-30
15554,251,593,192,2021-12-30
15555,8,37,8,2021-12-30
15558,215,537,49,2021-12-30
15559,206,469,135,2021-12-30
15562,25,71,-1,2021-12-30
15563,316,959,170,2021-12-30
15564,15,20,6,2021-12-30
15705,57,254,91,2021-12-30
15711,51,98,18,2021-12-30
15714,751,2045,330,2021-12-30
15716,70,191,30,2021-12-30
15720,16,43,-1,2021-12-30
15721,19,51,5,2021-12-30
15722,279,634,147,2021-12-30
15724,272,676,113,2021-12-30
15728,332,979,194,2021-12-30
15729,127,402,55,2021-12-30
15730,9,24,5,2021-12-30
15739,49,151,21,2021-12-30
15742,130,263,46,2021-12-30
15744,8,24,8,2021-12-30
15750,28,61,12,2021-12-30
15753,44,97,20,2021-12-30
15757,163,374,81,2021-12-30
15758,5,7,0,2021-12-30
15759,264,651,99,2021-12-30
15760,20,42,-1,2021-12-30
15762,97,271,53,2021-12-30
15763,0,7,-1,2021-12-30
15764,5,17,-1,2021-12-30
15765,152,467,63,2021-12-30
15767,1439,3558,583,2021-12-30
15770,19,42,7,2021-12-30
15771,101,211,30,2021-12-30
15772,148,440,58,2021-12-30
15773,71,162,29,2021-12-30
15775,-1,0,0,2021-12-30
15776,6,12,5,2021-12-30
15777,19,50,11,2021-12-30
15778,16,40,13,2021-12-30
15780,24,38,-1,2021-12-30
15784,18,38,5,2021-12-30
15801,1783,5911,1421,2021-12-30
15821,16,32,-1,2021-12-30
15823,91,335,75,2021-12-30
15824,391,1246,361,2021-12-30
15825,1190,2778,509,2021-12-30
15827,29,70,21,2021-12-30
15828,27,67,-1,2021-12-30
15829,145,325,58,2021-12-30
15832,17,73,8,2021-12-30
15834,379,1287,184,2021-12-30
15840,126,468,114,2021-12-30
15845,275,756,186,2021-12-30
15846,249,806,237,2021-12-30
15848,78,216,70,2021-12-30
15849,116,342,77,2021-12-30
15851,533,1480,388,2021-12-30
15853,619,1869,391,2021-12-30
15856,66,191,40,2021-12-30
15857,1179,3346,1137,2021-12-30
15860,132,292,36,2021-12-30
15861,14,24,-1,2021-12-30
15864,219,481,87,2021-12-30
15865,96,298,85,2021-12-30
15866,9,42,16,2021-12-30
15868,147,368,128,2021-12-30
15870,87,262,86,2021-12-30
15901,453,1745,133,2021-12-30
15902,1279,4813,559,2021-12-30
15904,1830,6230,974,2021-12-30
15905,2283,8704,1181,2021-12-30
15906,1194,4333,600,2021-12-30
15909,646,2048,293,2021-12-30
15920,115,365,47,2021-12-30
15924,109,338,69,2021-12-30
15926,295,859,160,2021-12-30
15927,142,443,75,2021-12-30
15928,218,761,165,2021-12-30
15931,1268,4284,548,2021-12-30
15934,30,92,37,2021-12-30
15935,303,945,188,2021-12-30
15936,180,513,114,2021-12-30
15938,333,977,160,2021-12-30
15940,496,1120,579,2021-12-30
15942,191,770,147,2021-12-30
15943,454,1477,276,2021-12-30
15944,335,1119,175,2021-12-30
15945,30,87,17,2021-12-30
15946,803,2531,470,2021-12-30
15949,113,233,46,2021-12-30
15951,79,263,46,2021-12-30
15952,140,498,106,2021-12-30
15953,8,21,5,2021-12-30
15954,271,771,87,2021-12-30
15955,222,715,154,2021-12-30
15956,338,1077,204,2021-12-30
15957,35,154,36,2021-12-30
15958,224,700,163,2021-12-30
15960,38,158,33,2021-12-30
15961,116,319,67,2021-12-30
15963,1067,3818,877,2021-12-30
16020,142,319,42,2021-12-30
16022,63,132,26,2021-12-30
16025,779,1527,289,2021-12-30
16028,243,565,49,2021-12-30
16030,39,79,13,2021-12-30
16036,17,34,8,2021-12-30
16038,451,901,88,2021-12-30
16040,95,241,46,2021-12-30
16041,220,551,83,2021-12-30
16049,390,777,113,2021-12-30
16050,192,425,75,2021-12-30
16051,298,900,143,2021-12-30
16057,1419,4218,446,2021-12-30
16061,300,668,106,2021-12-30
16101,3975,11222,1838,2021-12-30
16102,615,1715,280,2021-12-30
16105,1602,5374,814,2021-12-30
16110,47,105,20,2021-12-30
16111,112,219,39,2021-12-30
16112,159,430,92,2021-12-30
16114,48,179,19,2021-12-30
16116,289,800,153,2021-12-30
16121,575,1655,134,2021-12-30
16124,155,520,59,2021-12-30
16125,2065,6374,578,2021-12-30
16127,1965,4911,531,2021-12-30
16130,214,506,57,2021-12-30
16131,96,252,26,2021-12-30
16133,143,376,38,2021-12-30
16134,364,1221,120,2021-12-30
16137,1574,5076,419,2021-12-30
