ZIP_CODE,Positive,Negative,Probable,date
15521,106,346,58,2021-05-25
15522,879,2552,327,2021-05-25
15530,483,1682,142,2021-05-25
15531,238,993,112,2021-05-25
15533,74,238,38,2021-05-25
15534,49,133,26,2021-05-25
15535,108,322,57,2021-05-25
15536,21,100,13,2021-05-25
15537,576,1577,251,2021-05-25
15538,45,147,18,2021-05-25
15539,37,118,17,2021-05-25
15541,230,915,82,2021-05-25
15542,93,268,19,2021-05-25
15545,198,462,68,2021-05-25
15546,22,88,7,2021-05-25
15550,91,324,39,2021-05-25
15552,424,1673,115,2021-05-25
15554,141,456,80,2021-05-25
15555,6,31,-1,2021-05-25
15558,113,428,22,2021-05-25
15559,126,357,55,2021-05-25
15562,16,44,-1,2021-05-25
15563,180,740,90,2021-05-25
15564,6,17,-1,2021-05-25
15705,30,44,66,2021-05-25
15711,18,75,10,2021-05-25
15714,390,1709,132,2021-05-25
15716,40,145,20,2021-05-25
15720,8,32,-1,2021-05-25
15721,10,37,-1,2021-05-25
15722,172,536,72,2021-05-25
15724,139,517,55,2021-05-25
15728,160,735,115,2021-05-25
15729,65,293,31,2021-05-25
15730,5,13,-1,2021-05-25
15739,15,113,7,2021-05-25
15742,78,204,22,2021-05-25
15744,-1,18,5,2021-05-25
15750,9,48,5,2021-05-25
15753,24,73,16,2021-05-25
15757,89,260,47,2021-05-25
15758,-1,7,0,2021-05-25
15759,102,477,54,2021-05-25
15760,14,34,-1,2021-05-25
15762,44,230,20,2021-05-25
15763,0,-1,-1,2021-05-25
15764,-1,11,0,2021-05-25
15765,66,349,27,2021-05-25
15767,625,2579,308,2021-05-25
15770,11,33,-1,2021-05-25
15771,46,139,13,2021-05-25
15772,63,299,21,2021-05-25
15773,43,129,9,2021-05-25
15775,-1,0,0,2021-05-25
15776,-1,8,-1,2021-05-25
15777,10,34,8,2021-05-25
15778,-1,33,6,2021-05-25
15780,13,28,-1,2021-05-25
15784,9,27,0,2021-05-25
15801,988,4724,779,2021-05-25
15821,9,15,-1,2021-05-25
15823,58,237,41,2021-05-25
15824,187,941,194,2021-05-25
15825,541,2096,301,2021-05-25
15827,10,53,7,2021-05-25
15828,6,44,-1,2021-05-25
15829,58,231,45,2021-05-25
15832,8,55,-1,2021-05-25
15834,179,989,83,2021-05-25
15840,63,346,48,2021-05-25
15845,170,612,98,2021-05-25
15846,117,598,125,2021-05-25
15848,34,161,33,2021-05-25
15849,43,264,33,2021-05-25
15851,233,1118,195,2021-05-25
15853,365,1507,201,2021-05-25
15856,34,138,24,2021-05-25
15857,663,2635,550,2021-05-25
15860,59,205,12,2021-05-25
15861,11,18,-1,2021-05-25
15864,97,368,51,2021-05-25
15865,39,223,45,2021-05-25
15866,-1,31,10,2021-05-25
15868,88,282,59,2021-05-25
15870,48,213,46,2021-05-25
15901,291,1520,60,2021-05-25
15902,725,3968,227,2021-05-25
15904,1069,5090,463,2021-05-25
15905,1465,7084,572,2021-05-25
15906,657,3634,252,2021-05-25
15909,358,1757,126,2021-05-25
15920,55,282,17,2021-05-25
15924,68,291,32,2021-05-25
15926,174,720,63,2021-05-25
15927,72,378,39,2021-05-25
15928,127,627,94,2021-05-25
15931,972,3749,283,2021-05-25
15934,17,79,10,2021-05-25
15935,193,789,85,2021-05-25
15936,88,446,42,2021-05-25
15938,208,796,64,2021-05-25
15940,439,935,524,2021-05-25
15942,121,647,75,2021-05-25
15943,278,1342,108,2021-05-25
15944,167,847,87,2021-05-25
15945,13,75,12,2021-05-25
15946,510,2092,236,2021-05-25
15949,40,190,23,2021-05-25
15951,39,230,24,2021-05-25
15952,68,425,56,2021-05-25
15953,5,22,-1,2021-05-25
15954,130,605,33,2021-05-25
15955,123,564,72,2021-05-25
15956,187,925,94,2021-05-25
15957,19,131,14,2021-05-25
15958,143,586,75,2021-05-25
15960,20,144,14,2021-05-25
15961,58,265,29,2021-05-25
15963,599,3212,448,2021-05-25
16020,52,236,31,2021-05-25
16022,22,93,21,2021-05-25
16025,339,1208,222,2021-05-25
16028,114,418,39,2021-05-25
16030,15,54,7,2021-05-25
16036,5,25,7,2021-05-25
16038,216,691,62,2021-05-25
16040,33,164,33,2021-05-25
16041,96,411,65,2021-05-25
16049,140,575,70,2021-05-25
16050,66,336,50,2021-05-25
16051,118,653,87,2021-05-25
16057,589,2796,295,2021-05-25
16061,104,528,84,2021-05-25
16101,2129,8405,807,2021-05-25
16102,307,1261,114,2021-05-25
16105,999,3916,344,2021-05-25
16110,21,81,11,2021-05-25
16111,50,164,19,2021-05-25
16112,91,343,50,2021-05-25
16114,18,127,9,2021-05-25
16116,173,605,69,2021-05-25
16121,318,1216,74,2021-05-25
16124,88,414,26,2021-05-25
16125,1193,5152,246,2021-05-25
16127,985,3496,328,2021-05-25
16130,105,363,25,2021-05-25
16131,38,185,13,2021-05-25
16133,68,270,15,2021-05-25
16134,194,887,40,2021-05-25
16137,894,3349,204,2021-05-25
16142,333,1195,102,2021-05-25
16143,167,596,71,2021-05-25
16145,167,523,55,2021-05-25
16146,805,3919,239,2021-05-25
16148,1251,4732,449,2021-05-25
16150,409,1926,152,2021-05-25
