ZIP_CODE,Positive,Negative,Probable,date
18349,-1,34,0,2021-01-15
18351,18,91,0,2021-01-15
18356,14,151,0,2021-01-15
18357,-1,26,0,2021-01-15
18410,7,20,-1,2021-01-15
18413,-1,44,0,2021-01-15
18416,0,7,0,2021-01-15
18420,7,45,-1,2021-01-15
18440,7,40,-1,2021-01-15
18448,0,-1,0,2021-01-15
18449,0,-1,0,2021-01-15
18454,-1,17,0,2021-01-15
18457,-1,26,-1,2021-01-15
18459,5,23,0,2021-01-15
18473,8,89,-1,2021-01-15
18501,45,67,-1,2021-01-15
18502,-1,8,0,2021-01-15
18515,0,5,0,2021-01-15
18540,-1,-1,0,2021-01-15
18577,0,0,0,2021-01-15
18601,9,31,0,2021-01-15
18602,18,111,0,2021-01-15
18611,-1,6,0,2021-01-15
18625,7,85,-1,2021-01-15
18626,13,192,-1,2021-01-15
18627,7,35,0,2021-01-15
18653,-1,12,0,2021-01-15
18654,0,-1,0,2021-01-15
18690,-1,-1,0,2021-01-15
18703,11,53,-1,2021-01-15
18710,0,-1,0,2021-01-15
18711,97,128,12,2021-01-15
18762,0,0,0,2021-01-15
18764,-1,5,0,2021-01-15
18765,0,0,0,2021-01-15
18766,-1,42,-1,2021-01-15
18767,0,0,0,2021-01-15
18769,0,-1,0,2021-01-15
18773,0,0,0,2021-01-15
18813,-1,10,0,2021-01-15
18814,-1,19,0,2021-01-15
18815,0,-1,0,2021-01-15
18816,-1,18,0,2021-01-15
18820,-1,-1,0,2021-01-15
18827,0,-1,0,2021-01-15
18843,-1,30,0,2021-01-15
18910,-1,72,0,2021-01-15
18911,23,84,-1,2021-01-15
18912,10,107,-1,2021-01-15
18916,5,27,-1,2021-01-15
18918,-1,5,0,2021-01-15
18921,-1,44,0,2021-01-15
18922,-1,18,0,2021-01-15
18928,8,64,0,2021-01-15
18931,9,57,-1,2021-01-15
18935,11,59,-1,2021-01-15
18943,-1,34,0,2021-01-15
18946,-1,37,-1,2021-01-15
18949,9,53,-1,2021-01-15
18950,9,118,-1,2021-01-15
18953,8,47,0,2021-01-15
18956,0,18,0,2021-01-15
18957,-1,28,0,2021-01-15
18958,-1,17,0,2021-01-15
18962,15,117,-1,2021-01-15
18963,13,99,-1,2021-01-15
18968,6,27,0,2021-01-15
18970,37,177,0,2021-01-15
18971,-1,20,0,2021-01-15
18979,7,18,0,2021-01-15
18980,17,103,0,2021-01-15
18981,-1,11,-1,2021-01-15
18991,0,-1,0,2021-01-15
19016,11,32,0,2021-01-15
19017,17,90,-1,2021-01-15
19019,0,38,0,2021-01-15
19028,-1,35,0,2021-01-15
19037,227,216,35,2021-01-15
19039,-1,35,-1,2021-01-15
19048,-1,6,0,2021-01-15
19049,-1,7,0,2021-01-15
19052,12,50,-1,2021-01-15
19058,5,29,0,2021-01-15
19065,-1,16,0,2021-01-15
19080,-1,11,0,2021-01-15
19088,0,8,0,2021-01-15
19089,0,6,0,2021-01-15
19091,0,-1,0,2021-01-15
19092,0,-1,0,2021-01-15
19093,0,5,0,2021-01-15
19098,0,-1,0,2021-01-15
19099,0,-1,0,2021-01-15
19101,48,141,-1,2021-01-15
19105,12,56,0,2021-01-15
19108,-1,17,0,2021-01-15
19109,0,18,-1,2021-01-15
19110,-1,17,0,2021-01-15
19155,-1,14,0,2021-01-15
19160,10,21,0,2021-01-15
19161,-1,-1,0,2021-01-15
19162,-1,-1,0,2021-01-15
19170,-1,-1,0,2021-01-15
19171,0,7,0,2021-01-15
19172,-1,-1,0,2021-01-15
19173,0,0,0,2021-01-15
19175,0,0,0,2021-01-15
19176,-1,7,0,2021-01-15
19177,0,0,0,2021-01-15
19178,0,6,0,2021-01-15
19179,0,-1,0,2021-01-15
19181,0,-1,0,2021-01-15
19182,-1,-1,0,2021-01-15
19183,-1,-1,0,2021-01-15
19184,-1,-1,0,2021-01-15
