ZIP_CODE,Positive,Negative,Probable,date
15521,117,376,79,2021-09-05
15522,943,2754,377,2021-09-05
15530,507,1786,166,2021-09-05
15531,255,1076,128,2021-09-05
15533,91,273,47,2021-09-05
15534,54,143,30,2021-09-05
15535,122,357,63,2021-09-05
15536,23,117,15,2021-09-05
15537,622,1702,275,2021-09-05
15538,49,160,18,2021-09-05
15539,51,136,22,2021-09-05
15541,254,990,92,2021-09-05
15542,105,286,21,2021-09-05
15545,222,509,72,2021-09-05
15546,22,101,9,2021-09-05
15550,98,348,51,2021-09-05
15552,477,1823,129,2021-09-05
15554,151,503,94,2021-09-05
15555,6,34,-1,2021-09-05
15558,130,459,25,2021-09-05
15559,127,400,68,2021-09-05
15562,17,55,-1,2021-09-05
15563,189,805,103,2021-09-05
15564,6,18,-1,2021-09-05
15705,31,89,70,2021-09-05
15711,19,83,14,2021-09-05
15714,408,1856,165,2021-09-05
15716,42,158,22,2021-09-05
15720,9,35,-1,2021-09-05
15721,11,41,-1,2021-09-05
15722,174,578,82,2021-09-05
15724,147,586,68,2021-09-05
15728,171,823,126,2021-09-05
15729,70,331,35,2021-09-05
15730,5,17,-1,2021-09-05
15739,16,130,10,2021-09-05
15742,81,235,25,2021-09-05
15744,-1,19,5,2021-09-05
15750,16,48,11,2021-09-05
15753,26,84,14,2021-09-05
15757,92,300,50,2021-09-05
15758,-1,8,0,2021-09-05
15759,109,543,60,2021-09-05
15760,17,36,-1,2021-09-05
15762,53,258,24,2021-09-05
15763,0,-1,-1,2021-09-05
15764,-1,11,0,2021-09-05
15765,68,389,28,2021-09-05
15767,701,2873,342,2021-09-05
15770,12,37,-1,2021-09-05
15771,49,155,16,2021-09-05
15772,70,347,30,2021-09-05
15773,43,146,11,2021-09-05
15775,-1,0,0,2021-09-05
15776,-1,8,-1,2021-09-05
15777,10,40,10,2021-09-05
15778,-1,36,6,2021-09-05
15780,13,30,-1,2021-09-05
15784,9,34,0,2021-09-05
15801,1098,5238,841,2021-09-05
15821,9,18,-1,2021-09-05
15823,59,271,42,2021-09-05
15824,208,1064,197,2021-09-05
15825,602,2355,330,2021-09-05
15827,15,59,9,2021-09-05
15828,7,57,-1,2021-09-05
15829,69,255,46,2021-09-05
15832,8,63,-1,2021-09-05
15834,208,1135,91,2021-09-05
15840,66,393,52,2021-09-05
15845,177,686,104,2021-09-05
15846,141,669,139,2021-09-05
15848,37,179,31,2021-09-05
15849,47,290,33,2021-09-05
15851,275,1291,215,2021-09-05
15853,396,1683,218,2021-09-05
15856,40,163,24,2021-09-05
15857,722,2924,591,2021-09-05
15860,64,230,12,2021-09-05
15861,13,21,-1,2021-09-05
15864,102,396,53,2021-09-05
15865,44,241,47,2021-09-05
15866,5,34,13,2021-09-05
15868,95,309,64,2021-09-05
15870,56,220,51,2021-09-05
15901,331,1607,71,2021-09-05
15902,785,4299,272,2021-09-05
15904,1164,5480,513,2021-09-05
15905,1564,7706,671,2021-09-05
15906,712,3902,294,2021-09-05
15909,374,1900,150,2021-09-05
15920,64,318,23,2021-09-05
15924,75,308,37,2021-09-05
15926,181,773,76,2021-09-05
15927,74,400,41,2021-09-05
15928,138,683,106,2021-09-05
15931,992,3967,323,2021-09-05
15934,19,86,14,2021-09-05
15935,204,850,100,2021-09-05
15936,93,486,50,2021-09-05
15938,232,839,73,2021-09-05
15940,442,1041,542,2021-09-05
15942,132,698,90,2021-09-05
15943,300,1409,141,2021-09-05
15944,187,953,87,2021-09-05
15945,14,79,12,2021-09-05
15946,523,2251,265,2021-09-05
15949,56,213,26,2021-09-05
15951,44,238,28,2021-09-05
15952,77,465,58,2021-09-05
15953,5,22,-1,2021-09-05
15954,140,663,42,2021-09-05
15955,127,608,76,2021-09-05
15956,201,984,110,2021-09-05
