ZIP_CODE,Positive,Negative,Probable,date
15521,108,357,63,2021-07-16
15522,897,2623,342,2021-07-16
15530,488,1737,145,2021-07-16
15531,244,1034,112,2021-07-16
15533,76,254,39,2021-07-16
15534,52,137,26,2021-07-16
15535,113,334,58,2021-07-16
15536,21,105,13,2021-07-16
15537,588,1626,263,2021-07-16
15538,46,155,18,2021-07-16
15539,38,124,17,2021-07-16
15541,233,953,82,2021-07-16
15542,98,277,20,2021-07-16
15545,211,479,70,2021-07-16
15546,22,97,9,2021-07-16
15550,92,336,43,2021-07-16
15552,441,1717,115,2021-07-16
15554,144,469,84,2021-07-16
15555,6,33,-1,2021-07-16
15558,119,442,23,2021-07-16
15559,126,373,57,2021-07-16
15562,17,49,-1,2021-07-16
15563,182,770,93,2021-07-16
15564,6,18,-1,2021-07-16
15705,30,48,66,2021-07-16
15711,19,78,11,2021-07-16
15714,394,1790,145,2021-07-16
15716,40,147,20,2021-07-16
15720,8,34,-1,2021-07-16
15721,10,38,-1,2021-07-16
15722,173,560,76,2021-07-16
15724,142,556,58,2021-07-16
15728,164,771,121,2021-07-16
15729,69,309,33,2021-07-16
15730,5,14,-1,2021-07-16
15739,15,120,8,2021-07-16
15742,78,214,24,2021-07-16
15744,-1,18,5,2021-07-16
15750,11,50,8,2021-07-16
15753,25,77,14,2021-07-16
15757,89,277,48,2021-07-16
15758,-1,8,0,2021-07-16
15759,102,513,55,2021-07-16
15760,14,35,-1,2021-07-16
15762,45,244,20,2021-07-16
15763,0,-1,-1,2021-07-16
15764,-1,11,0,2021-07-16
15765,66,360,27,2021-07-16
15767,633,2706,310,2021-07-16
15770,11,34,-1,2021-07-16
15771,46,145,13,2021-07-16
15772,63,321,22,2021-07-16
15773,43,140,10,2021-07-16
15775,-1,0,0,2021-07-16
15776,-1,8,-1,2021-07-16
15777,10,37,9,2021-07-16
15778,-1,35,6,2021-07-16
15780,13,29,-1,2021-07-16
15784,9,30,0,2021-07-16
15801,1003,4931,794,2021-07-16
15821,9,17,-1,2021-07-16
15823,58,253,41,2021-07-16
15824,188,977,195,2021-07-16
15825,549,2195,308,2021-07-16
15827,10,54,7,2021-07-16
15828,6,47,-1,2021-07-16
15829,59,241,46,2021-07-16
15832,8,62,-1,2021-07-16
15834,188,1050,84,2021-07-16
15840,63,369,48,2021-07-16
15845,170,642,98,2021-07-16
15846,117,634,126,2021-07-16
15848,36,174,30,2021-07-16
15849,43,276,33,2021-07-16
15851,241,1196,196,2021-07-16
15853,369,1574,204,2021-07-16
15856,37,149,24,2021-07-16
15857,666,2774,552,2021-07-16
15860,59,215,12,2021-07-16
15861,13,18,-1,2021-07-16
15864,98,380,52,2021-07-16
15865,39,231,45,2021-07-16
15866,-1,31,10,2021-07-16
15868,88,295,60,2021-07-16
15870,49,214,47,2021-07-16
15901,299,1571,64,2021-07-16
15902,739,4117,244,2021-07-16
15904,1093,5270,472,2021-07-16
15905,1482,7401,596,2021-07-16
15906,677,3745,273,2021-07-16
15909,364,1844,138,2021-07-16
15920,57,298,20,2021-07-16
15924,71,298,34,2021-07-16
15926,176,743,65,2021-07-16
15927,72,382,40,2021-07-16
15928,131,657,97,2021-07-16
15931,975,3848,298,2021-07-16
15934,17,86,10,2021-07-16
15935,194,812,93,2021-07-16
15936,87,466,42,2021-07-16
15938,211,817,67,2021-07-16
15940,440,1001,526,2021-07-16
15942,124,678,82,2021-07-16
15943,283,1378,119,2021-07-16
15944,175,895,86,2021-07-16
15945,13,78,12,2021-07-16
15946,514,2166,249,2021-07-16
15949,40,201,24,2021-07-16
15951,43,229,27,2021-07-16
15952,70,443,57,2021-07-16
15953,5,23,-1,2021-07-16
15954,131,641,34,2021-07-16
15955,124,584,73,2021-07-16
15956,191,961,100,2021-07-16
15957,19,134,16,2021-07-16
15958,143,609,78,2021-07-16
15960,20,147,14,2021-07-16
15961,60,279,31,2021-07-16
15963,614,3310,453,2021-07-16
16020,53,253,32,2021-07-16
16022,22,96,22,2021-07-16
16025,348,1253,223,2021-07-16
16028,116,434,41,2021-07-16
16030,15,57,7,2021-07-16
16036,5,26,7,2021-07-16
16038,221,720,61,2021-07-16
16040,33,179,33,2021-07-16
16041,98,432,66,2021-07-16
16049,142,602,70,2021-07-16
16050,66,350,50,2021-07-16
16051,120,685,90,2021-07-16
16057,600,2925,301,2021-07-16
16061,104,557,85,2021-07-16
16101,2169,8882,835,2021-07-16
16102,315,1343,124,2021-07-16
16105,1013,4145,359,2021-07-16
16110,23,83,11,2021-07-16
16111,51,172,20,2021-07-16
16112,91,354,51,2021-07-16
16114,18,141,9,2021-07-16
16116,176,645,74,2021-07-16
