ZIP_CODE,Positive,Negative,Probable,date
15521,103,331,53,2021-04-29
15522,846,2480,306,2021-04-29
15530,462,1637,123,2021-04-29
15531,217,972,96,2021-04-29
15533,71,229,34,2021-04-29
15534,45,133,23,2021-04-29
15535,98,301,51,2021-04-29
15536,21,99,13,2021-04-29
15537,548,1531,233,2021-04-29
15538,39,144,14,2021-04-29
15539,34,112,13,2021-04-29
15541,221,893,77,2021-04-29
15542,91,256,18,2021-04-29
15545,187,439,63,2021-04-29
15546,22,86,-1,2021-04-29
15550,91,308,36,2021-04-29
15552,411,1608,114,2021-04-29
15554,137,445,72,2021-04-29
15555,6,30,-1,2021-04-29
15558,112,410,18,2021-04-29
15559,120,340,53,2021-04-29
15562,16,41,-1,2021-04-29
15563,169,707,84,2021-04-29
15564,6,17,-1,2021-04-29
15705,31,43,66,2021-04-29
15711,17,73,9,2021-04-29
15714,369,1673,114,2021-04-29
15716,38,137,18,2021-04-29
15720,8,33,-1,2021-04-29
15721,10,37,-1,2021-04-29
15722,167,527,66,2021-04-29
15724,124,487,43,2021-04-29
15728,149,696,97,2021-04-29
15729,60,272,25,2021-04-29
15730,5,12,-1,2021-04-29
15739,15,102,6,2021-04-29
15742,74,193,19,2021-04-29
15744,-1,17,5,2021-04-29
15750,9,43,-1,2021-04-29
15753,24,72,13,2021-04-29
15757,80,249,37,2021-04-29
15758,-1,6,0,2021-04-29
15759,98,432,49,2021-04-29
15760,14,35,-1,2021-04-29
15762,42,219,14,2021-04-29
15763,0,-1,-1,2021-04-29
15764,-1,10,0,2021-04-29
15765,61,325,24,2021-04-29
15767,610,2508,301,2021-04-29
15770,11,31,-1,2021-04-29
15771,46,126,13,2021-04-29
15772,59,287,20,2021-04-29
15773,43,132,9,2021-04-29
15775,-1,0,0,2021-04-29
15776,-1,7,-1,2021-04-29
15777,10,32,7,2021-04-29
15778,-1,31,5,2021-04-29
15780,13,26,-1,2021-04-29
15784,8,26,0,2021-04-29
15801,965,4749,768,2021-04-29
15821,9,16,-1,2021-04-29
15823,56,227,40,2021-04-29
15824,184,902,193,2021-04-29
15825,530,2017,285,2021-04-29
15827,10,53,7,2021-04-29
15828,6,41,-1,2021-04-29
15829,58,223,43,2021-04-29
15832,8,53,-1,2021-04-29
15834,168,965,81,2021-04-29
15840,61,326,43,2021-04-29
15845,166,596,95,2021-04-29
15846,115,581,122,2021-04-29
15848,33,154,32,2021-04-29
15849,42,242,32,2021-04-29
15851,216,1053,188,2021-04-29
15853,356,1466,199,2021-04-29
15856,33,132,24,2021-04-29
15857,647,2540,543,2021-04-29
15860,57,201,12,2021-04-29
15861,10,16,-1,2021-04-29
15864,89,359,49,2021-04-29
15865,39,207,44,2021-04-29
15866,-1,28,7,2021-04-29
15868,87,268,59,2021-04-29
15870,44,205,45,2021-04-29
15901,286,1474,58,2021-04-29
15902,679,3816,208,2021-04-29
15904,1022,4962,441,2021-04-29
15905,1401,6916,488,2021-04-29
15906,620,3511,221,2021-04-29
15909,345,1690,109,2021-04-29
15920,49,271,16,2021-04-29
15924,62,279,30,2021-04-29
15926,166,697,57,2021-04-29
15927,66,367,36,2021-04-29
15928,122,607,78,2021-04-29
15931,957,3658,245,2021-04-29
15934,16,77,10,2021-04-29
15935,185,766,82,2021-04-29
15936,82,432,35,2021-04-29
15938,204,785,58,2021-04-29
15940,435,886,521,2021-04-29
15942,113,628,62,2021-04-29
15943,275,1315,96,2021-04-29
15944,157,806,72,2021-04-29
15945,13,74,12,2021-04-29
15946,482,2053,218,2021-04-29
15949,35,185,23,2021-04-29
15951,38,222,18,2021-04-29
15952,62,412,47,2021-04-29
15953,5,23,-1,2021-04-29
15954,124,581,32,2021-04-29
15955,115,549,67,2021-04-29
15956,173,894,83,2021-04-29
15957,18,125,13,2021-04-29
15958,139,569,70,2021-04-29
15960,20,140,13,2021-04-29
15961,53,248,28,2021-04-29
15963,572,3152,419,2021-04-29
16020,49,213,32,2021-04-29
16022,21,86,21,2021-04-29
16025,326,1169,218,2021-04-29
16028,110,394,39,2021-04-29
16030,13,53,7,2021-04-29
16036,5,25,7,2021-04-29
16038,199,683,58,2021-04-29
16040,30,158,32,2021-04-29
16041,90,396,64,2021-04-29
16049,139,543,70,2021-04-29
16050,60,320,49,2021-04-29
16051,109,617,86,2021-04-29
16057,542,2703,280,2021-04-29
16061,93,504,80,2021-04-29
16101,2063,8117,758,2021-04-29
16102,294,1210,107,2021-04-29
16105,972,3797,322,2021-04-29
16110,21,82,10,2021-04-29
16111,49,154,18,2021-04-29
16112,88,328,41,2021-04-29
