ZIP_CODE,Positive,Negative,Probable,date
15521,213,452,132,2022-01-10
15522,1577,3427,671,2022-01-10
15530,788,1933,284,2022-01-10
15531,475,1237,227,2022-01-10
15533,143,338,93,2022-01-10
15534,83,166,66,2022-01-10
15535,221,431,110,2022-01-10
15536,38,134,30,2022-01-10
15537,1015,2050,443,2022-01-10
15538,80,190,30,2022-01-10
15539,86,161,46,2022-01-10
15541,465,1124,168,2022-01-10
15542,166,359,49,2022-01-10
15545,344,575,152,2022-01-10
15546,47,123,19,2022-01-10
15550,200,420,100,2022-01-10
15552,953,2075,245,2022-01-10
15554,260,600,210,2022-01-10
15555,9,38,8,2022-01-10
15558,245,530,54,2022-01-10
15559,217,471,146,2022-01-10
15562,28,73,-1,2022-01-10
15563,348,948,187,2022-01-10
15564,15,21,8,2022-01-10
15705,59,248,89,2022-01-10
15711,51,98,18,2022-01-10
15714,806,2062,338,2022-01-10
15716,76,188,34,2022-01-10
15720,24,39,5,2022-01-10
15721,19,51,5,2022-01-10
15722,302,638,151,2022-01-10
15724,286,680,118,2022-01-10
15728,365,989,210,2022-01-10
15729,142,401,58,2022-01-10
15730,10,24,5,2022-01-10
15739,53,150,25,2022-01-10
15742,132,269,47,2022-01-10
15744,9,25,8,2022-01-10
15750,31,59,12,2022-01-10
15753,45,103,21,2022-01-10
15757,174,388,83,2022-01-10
15758,5,7,0,2022-01-10
15759,288,655,99,2022-01-10
15760,20,42,-1,2022-01-10
15762,103,274,55,2022-01-10
15763,0,7,-1,2022-01-10
15764,6,19,-1,2022-01-10
15765,175,471,66,2022-01-10
15767,1515,3608,591,2022-01-10
15770,19,42,8,2022-01-10
15771,105,211,31,2022-01-10
15772,154,447,58,2022-01-10
15773,75,164,30,2022-01-10
15775,-1,0,0,2022-01-10
15776,7,11,5,2022-01-10
15777,19,49,11,2022-01-10
15778,18,38,13,2022-01-10
15780,25,38,-1,2022-01-10
15784,18,40,5,2022-01-10
15801,1892,5939,1507,2022-01-10
15821,19,29,-1,2022-01-10
15823,97,335,80,2022-01-10
15824,426,1254,386,2022-01-10
15825,1271,2778,529,2022-01-10
15827,32,72,21,2022-01-10
15828,28,66,-1,2022-01-10
15829,156,328,60,2022-01-10
15832,18,72,8,2022-01-10
15834,398,1296,191,2022-01-10
15840,133,480,123,2022-01-10
15845,301,758,202,2022-01-10
15846,267,803,254,2022-01-10
15848,81,222,71,2022-01-10
15849,118,344,81,2022-01-10
15851,560,1496,402,2022-01-10
15853,679,1874,424,2022-01-10
15856,70,195,40,2022-01-10
15857,1253,3386,1203,2022-01-10
15860,142,295,40,2022-01-10
15861,16,22,-1,2022-01-10
15864,229,493,89,2022-01-10
15865,101,301,93,2022-01-10
15866,9,43,16,2022-01-10
15868,159,368,136,2022-01-10
15870,96,264,86,2022-01-10
15901,497,1729,147,2022-01-10
15902,1415,4794,603,2022-01-10
15904,2026,6219,1061,2022-01-10
15905,2511,8667,1302,2022-01-10
15906,1318,4296,658,2022-01-10
15909,704,2032,309,2022-01-10
15920,130,362,49,2022-01-10
15924,126,332,74,2022-01-10
15926,316,861,168,2022-01-10
15927,153,440,83,2022-01-10
15928,237,757,174,2022-01-10
15931,1363,4293,594,2022-01-10
15934,38,92,37,2022-01-10
15935,326,950,196,2022-01-10
15936,202,506,119,2022-01-10
15938,371,974,166,2022-01-10
15940,769,1097,535,2022-01-10
15942,214,760,157,2022-01-10
15943,476,1479,293,2022-01-10
