ZIP_CODE,Positive,Negative,Probable,date
15521,107,351,61,2021-06-18
15522,893,2585,338,2021-06-18
15530,488,1703,145,2021-06-18
15531,242,1011,112,2021-06-18
15533,76,247,39,2021-06-18
15534,52,132,26,2021-06-18
15535,111,326,58,2021-06-18
15536,21,104,13,2021-06-18
15537,586,1594,260,2021-06-18
15538,45,150,18,2021-06-18
15539,38,121,17,2021-06-18
15541,233,932,82,2021-06-18
15542,97,273,20,2021-06-18
15545,203,470,68,2021-06-18
15546,22,95,9,2021-06-18
15550,92,331,43,2021-06-18
15552,437,1701,114,2021-06-18
15554,143,463,81,2021-06-18
15555,6,32,-1,2021-06-18
15558,118,434,23,2021-06-18
15559,126,362,57,2021-06-18
15562,17,46,-1,2021-06-18
15563,182,752,93,2021-06-18
15564,6,17,-1,2021-06-18
15705,30,47,66,2021-06-18
15711,19,76,11,2021-06-18
15714,393,1747,144,2021-06-18
15716,40,146,20,2021-06-18
15720,8,34,-1,2021-06-18
15721,10,37,-1,2021-06-18
15722,173,545,76,2021-06-18
15724,142,539,58,2021-06-18
15728,164,752,118,2021-06-18
15729,69,300,33,2021-06-18
15730,5,14,-1,2021-06-18
15739,15,118,8,2021-06-18
15742,78,212,24,2021-06-18
15744,-1,18,5,2021-06-18
15750,11,48,8,2021-06-18
15753,25,75,14,2021-06-18
15757,89,273,48,2021-06-18
15758,-1,7,0,2021-06-18
15759,102,500,55,2021-06-18
15760,14,35,-1,2021-06-18
15762,45,237,20,2021-06-18
15763,0,-1,-1,2021-06-18
15764,-1,11,0,2021-06-18
15765,66,352,27,2021-06-18
15767,633,2654,310,2021-06-18
15770,11,34,-1,2021-06-18
15771,46,143,13,2021-06-18
15772,63,315,22,2021-06-18
15773,43,136,10,2021-06-18
15775,-1,0,0,2021-06-18
15776,-1,8,-1,2021-06-18
15777,10,36,9,2021-06-18
15778,-1,35,6,2021-06-18
15780,13,28,-1,2021-06-18
15784,9,28,0,2021-06-18
15801,1001,4821,788,2021-06-18
15821,9,15,-1,2021-06-18
15823,58,248,41,2021-06-18
15824,188,957,195,2021-06-18
15825,547,2155,308,2021-06-18
15827,10,54,7,2021-06-18
15828,6,46,-1,2021-06-18
15829,59,234,46,2021-06-18
15832,8,60,-1,2021-06-18
15834,184,1028,84,2021-06-18
15840,63,357,48,2021-06-18
15845,170,624,98,2021-06-18
15846,117,617,125,2021-06-18
15848,35,168,31,2021-06-18
15849,43,269,33,2021-06-18
15851,241,1156,196,2021-06-18
15853,367,1542,203,2021-06-18
15856,34,143,24,2021-06-18
15857,666,2723,552,2021-06-18
15860,59,210,12,2021-06-18
15861,12,17,-1,2021-06-18
15864,98,373,52,2021-06-18
15865,39,224,45,2021-06-18
15866,-1,31,10,2021-06-18
15868,88,288,60,2021-06-18
15870,49,213,47,2021-06-18
15901,296,1549,62,2021-06-18
15902,736,4057,242,2021-06-18
15904,1088,5170,469,2021-06-18
15905,1477,7247,590,2021-06-18
15906,671,3678,271,2021-06-18
15909,364,1796,137,2021-06-18
15920,57,291,19,2021-06-18
15924,71,296,34,2021-06-18
15926,174,728,65,2021-06-18
15927,72,379,40,2021-06-18
15928,129,649,97,2021-06-18
15931,976,3798,298,2021-06-18
15934,17,81,10,2021-06-18
15935,193,797,92,2021-06-18
15936,87,458,42,2021-06-18
15938,209,804,66,2021-06-18
15940,440,970,526,2021-06-18
15942,124,665,82,2021-06-18
15943,284,1361,119,2021-06-18
15944,173,880,86,2021-06-18
15945,13,77,12,2021-06-18
15946,513,2132,248,2021-06-18
15949,40,192,24,2021-06-18
