ZIP_CODE,Positive,Negative,Probable,date
15521,146,412,93,2021-10-15
15522,1147,3069,474,2021-10-15
15530,569,1871,187,2021-10-15
15531,315,1146,146,2021-10-15
15533,103,310,64,2021-10-15
15534,64,157,48,2021-10-15
15535,151,385,79,2021-10-15
15536,27,125,17,2021-10-15
15537,761,1857,339,2021-10-15
15538,58,171,23,2021-10-15
15539,68,147,31,2021-10-15
15541,317,1053,109,2021-10-15
15542,119,312,23,2021-10-15
15545,262,534,97,2021-10-15
15546,28,110,13,2021-10-15
15550,144,382,62,2021-10-15
15552,595,1977,153,2021-10-15
15554,190,556,142,2021-10-15
15555,6,35,6,2021-10-15
15558,153,494,33,2021-10-15
15559,167,434,100,2021-10-15
15562,21,60,-1,2021-10-15
15563,230,887,124,2021-10-15
15564,9,18,-1,2021-10-15
15705,41,185,72,2021-10-15
15711,23,95,13,2021-10-15
15714,511,1962,202,2021-10-15
15716,53,177,25,2021-10-15
15720,12,40,-1,2021-10-15
15721,15,44,-1,2021-10-15
15722,196,611,97,2021-10-15
15724,180,644,87,2021-10-15
15728,233,912,148,2021-10-15
15729,85,373,44,2021-10-15
15730,8,15,-1,2021-10-15
15739,32,139,15,2021-10-15
15742,98,254,33,2021-10-15
15744,5,19,5,2021-10-15
15750,17,58,11,2021-10-15
15753,30,97,15,2021-10-15
15757,113,337,65,2021-10-15
15758,-1,9,0,2021-10-15
15759,149,609,71,2021-10-15
15760,18,39,-1,2021-10-15
15762,59,276,35,2021-10-15
15763,0,6,-1,2021-10-15
15764,-1,10,-1,2021-10-15
15765,86,425,36,2021-10-15
15767,927,3197,402,2021-10-15
15770,12,40,5,2021-10-15
15771,67,170,22,2021-10-15
15772,92,382,38,2021-10-15
15773,56,157,14,2021-10-15
15775,-1,0,0,2021-10-15
15776,-1,9,-1,2021-10-15
15777,11,45,11,2021-10-15
15778,9,39,9,2021-10-15
15780,16,35,-1,2021-10-15
15784,11,36,0,2021-10-15
15801,1278,5503,1054,2021-10-15
15821,11,24,-1,2021-10-15
15823,65,289,55,2021-10-15
15824,276,1152,265,2021-10-15
15825,797,2541,395,2021-10-15
15827,20,65,15,2021-10-15
15828,19,64,0,2021-10-15
15829,89,285,49,2021-10-15
15832,10,67,5,2021-10-15
15834,285,1194,134,2021-10-15
15840,74,419,71,2021-10-15
15845,211,712,142,2021-10-15
