ZIP_CODE,Positive,Negative,Probable,date
15521,192,444,123,2021-12-19
15522,1455,3379,604,2021-12-19
15530,729,1932,242,2021-12-19
15531,431,1238,215,2021-12-19
15533,133,341,82,2021-12-19
15534,76,163,64,2021-12-19
15535,194,403,102,2021-12-19
15536,33,132,28,2021-12-19
15537,947,2007,423,2021-12-19
15538,74,186,27,2021-12-19
15539,81,156,44,2021-12-19
15541,416,1125,152,2021-12-19
15542,149,354,41,2021-12-19
15545,307,564,138,2021-12-19
15546,44,121,18,2021-12-19
15550,188,410,90,2021-12-19
15552,852,2058,222,2021-12-19
15554,245,587,182,2021-12-19
15555,8,37,8,2021-12-19
15558,204,534,50,2021-12-19
15559,200,462,129,2021-12-19
15562,24,68,-1,2021-12-19
15563,308,950,166,2021-12-19
15564,15,19,5,2021-12-19
15705,56,255,92,2021-12-19
15711,50,97,17,2021-12-19
15714,737,2025,317,2021-12-19
15716,66,188,31,2021-12-19
15720,16,43,-1,2021-12-19
15721,19,51,5,2021-12-19
15722,265,633,144,2021-12-19
15724,260,675,108,2021-12-19
15728,322,969,188,2021-12-19
15729,122,398,53,2021-12-19
15730,9,22,5,2021-12-19
15739,48,151,21,2021-12-19
15742,127,257,44,2021-12-19
15744,8,23,8,2021-12-19
15750,27,62,12,2021-12-19
15753,41,100,20,2021-12-19
15757,154,366,78,2021-12-19
15758,5,7,0,2021-12-19
15759,250,642,96,2021-12-19
15760,20,42,-1,2021-12-19
15762,96,270,51,2021-12-19
15763,0,7,-1,2021-12-19
15764,5,14,-1,2021-12-19
15765,143,460,62,2021-12-19
15767,1405,3487,572,2021-12-19
15770,19,42,7,2021-12-19
15771,97,205,30,2021-12-19
15772,145,430,58,2021-12-19
15773,68,162,26,2021-12-19
15775,-1,0,0,2021-12-19
15776,-1,12,5,2021-12-19
15777,15,50,11,2021-12-19
15778,15,37,13,2021-12-19
15780,24,38,-1,2021-12-19
15784,18,38,5,2021-12-19
15801,1711,5843,1365,2021-12-19
15821,14,30,-1,2021-12-19
15823,88,330,74,2021-12-19
15824,380,1232,350,2021-12-19
15825,1152,2739,496,2021-12-19
15827,26,68,18,2021-12-19
15828,27,65,-1,2021-12-19
15829,143,318,57,2021-12-19
15832,16,72,8,2021-12-19
15834,371,1271,183,2021-12-19
15840,122,461,110,2021-12-19
15845,268,753,185,2021-12-19
15846,247,796,232,2021-12-19
15848,73,216,68,2021-12-19
15849,109,340,76,2021-12-19
15851,512,1457,376,2021-12-19
15853,596,1845,380,2021-12-19
15856,65,187,39,2021-12-19
15857,1153,3308,1101,2021-12-19
