ZIP_CODE,Positive,Negative,Probable,date
15521,103,327,52,2021-04-26
15522,842,2458,304,2021-04-26
15530,455,1609,123,2021-04-26
15531,213,963,96,2021-04-26
15533,70,227,34,2021-04-26
15534,45,132,23,2021-04-26
15535,97,295,50,2021-04-26
15536,21,98,13,2021-04-26
15537,547,1521,229,2021-04-26
15538,39,145,14,2021-04-26
15539,32,111,14,2021-04-26
15541,220,884,77,2021-04-26
15542,91,254,17,2021-04-26
15545,183,437,60,2021-04-26
15546,22,87,-1,2021-04-26
15550,91,307,35,2021-04-26
15552,405,1598,109,2021-04-26
15554,136,441,70,2021-04-26
15555,6,30,-1,2021-04-26
15558,112,407,17,2021-04-26
15559,120,337,52,2021-04-26
15562,16,41,-1,2021-04-26
15563,166,703,84,2021-04-26
15564,6,17,-1,2021-04-26
15705,31,43,63,2021-04-26
15711,17,73,9,2021-04-26
15714,367,1662,110,2021-04-26
15716,38,136,18,2021-04-26
15720,8,33,-1,2021-04-26
15721,10,37,-1,2021-04-26
15722,165,527,64,2021-04-26
15724,122,482,42,2021-04-26
15728,148,697,97,2021-04-26
15729,60,273,24,2021-04-26
15730,5,12,-1,2021-04-26
15739,15,102,5,2021-04-26
15742,74,191,19,2021-04-26
15744,-1,16,5,2021-04-26
15750,9,43,-1,2021-04-26
15753,24,72,13,2021-04-26
15757,78,249,35,2021-04-26
15758,-1,6,0,2021-04-26
15759,95,431,48,2021-04-26
15760,13,37,0,2021-04-26
15762,42,217,14,2021-04-26
15763,0,-1,-1,2021-04-26
15764,-1,11,0,2021-04-26
15765,61,322,24,2021-04-26
15767,609,2493,299,2021-04-26
15770,11,31,-1,2021-04-26
15771,46,125,13,2021-04-26
15772,59,286,19,2021-04-26
15773,43,132,9,2021-04-26
15775,-1,0,0,2021-04-26
15776,-1,7,-1,2021-04-26
15777,10,32,7,2021-04-26
15778,-1,31,-1,2021-04-26
15780,13,26,-1,2021-04-26
15784,8,26,0,2021-04-26
15801,958,4727,765,2021-04-26
15821,8,17,-1,2021-04-26
15823,56,226,40,2021-04-26
15824,184,902,193,2021-04-26
15825,530,2015,286,2021-04-26
15827,10,53,7,2021-04-26
15828,6,41,-1,2021-04-26
15829,58,223,43,2021-04-26
15832,8,52,-1,2021-04-26
15834,168,959,81,2021-04-26
15840,60,323,43,2021-04-26
15845,165,593,93,2021-04-26
15846,112,574,122,2021-04-26
15848,33,153,32,2021-04-26
15849,42,242,32,2021-04-26
15851,216,1043,186,2021-04-26
15853,354,1457,198,2021-04-26
15856,33,131,24,2021-04-26
15857,644,2519,542,2021-04-26
15860,57,199,12,2021-04-26
15861,10,16,-1,2021-04-26
15864,89,358,49,2021-04-26
15865,40,202,43,2021-04-26
15866,-1,29,6,2021-04-26
15868,87,264,59,2021-04-26
15870,44,203,45,2021-04-26
15901,285,1461,56,2021-04-26
15902,670,3785,203,2021-04-26
15904,1012,4949,438,2021-04-26
15905,1388,6874,475,2021-04-26
15906,611,3484,217,2021-04-26
15909,343,1684,107,2021-04-26
15920,49,265,16,2021-04-26
15924,61,275,30,2021-04-26
15926,165,694,57,2021-04-26
15927,64,366,36,2021-04-26
15928,121,605,78,2021-04-26
15931,948,3652,238,2021-04-26
15934,16,76,10,2021-04-26
15935,183,768,83,2021-04-26
15936,82,430,35,2021-04-26
15938,203,780,57,2021-04-26
15940,432,893,508,2021-04-26
15942,111,625,62,2021-04-26
15943,274,1312,94,2021-04-26
15944,154,798,72,2021-04-26
15945,13,74,12,2021-04-26
15946,471,2052,212,2021-04-26
15949,34,182,22,2021-04-26
15951,38,222,18,2021-04-26
15952,60,409,45,2021-04-26
15953,5,23,-1,2021-04-26
15954,122,580,32,2021-04-26
15955,114,545,66,2021-04-26
15956,172,886,77,2021-04-26
15957,18,124,13,2021-04-26
15958,139,565,70,2021-04-26
15960,20,139,11,2021-04-26
15961,52,247,28,2021-04-26
15963,569,3147,413,2021-04-26
16020,48,212,32,2021-04-26
16022,21,84,21,2021-04-26
16025,321,1159,218,2021-04-26
16028,110,389,39,2021-04-26
16030,12,53,7,2021-04-26
16036,5,25,7,2021-04-26
16038,197,680,58,2021-04-26
16040,29,156,32,2021-04-26
16041,90,396,64,2021-04-26
16049,139,534,70,2021-04-26
16050,60,319,49,2021-04-26
16051,107,612,86,2021-04-26
16057,537,2686,280,2021-04-26
16061,92,503,79,2021-04-26
16101,2052,8090,750,2021-04-26
16102,293,1198,106,2021-04-26
16105,968,3772,320,2021-04-26
16110,21,81,10,2021-04-26
16111,49,152,18,2021-04-26
16112,88,327,41,2021-04-26
16114,18,123,9,2021-04-26
16116,164,588,65,2021-04-26
16121,311,1151,71,2021-04-26
16124,85,397,23,2021-04-26
16125,1113,4964,217,2021-04-26
16127,929,3369,318,2021-04-26
16130,103,351,25,2021-04-26
16131,35,174,12,2021-04-26
16133,66,259,13,2021-04-26
16134,179,862,39,2021-04-26
16137,855,3226,183,2021-04-26
16142,320,1154,89,2021-04-26
16143,161,575,65,2021-04-26
16145,163,496,49,2021-04-26
16146,773,3757,220,2021-04-26
16148,1206,4577,436,2021-04-26
16150,395,1872,140,2021-04-26
16153,125,515,41,2021-04-26
16154,127,600,25,2021-04-26
16156,145,521,63,2021-04-26
16159,253,990,81,2021-04-26
16172,52,266,32,2021-04-26
16213,10,24,-1,2021-04-26
16214,422,2075,195,2021-04-26
16217,-1,39,0,2021-04-26
16218,70,222,21,2021-04-26
16224,68,249,34,2021-04-26
16225,-1,15,-1,2021-04-26
16232,174,734,100,2021-04-26
16233,35,170,28,2021-04-26
16234,7,16,-1,2021-04-26
16235,62,234,57,2021-04-26
16239,1233,1760,38,2021-04-26
16240,66,248,36,2021-04-26
16242,314,880,110,2021-04-26
16248,145,592,81,2021-04-26
16253,9,37,-1,2021-04-26
16254,162,824,139,2021-04-26
16255,209,392,53,2021-04-26
16258,86,371,67,2021-04-26
16260,12,41,-1,2021-04-26
16301,790,3077,196,2021-04-26
16311,15,75,10,2021-04-26
16313,69,335,21,2021-04-26
16314,303,1054,125,2021-04-26
16316,236,1178,145,2021-04-26
16317,92,267,30,2021-04-26
16319,54,207,32,2021-04-26
16321,8,21,0,2021-04-26
16323,960,3398,262,2021-04-26
16326,13,75,9,2021-04-26
16327,131,495,52,2021-04-26
16329,22,74,6,2021-04-26
16331,5,13,6,2021-04-26
16332,-1,26,-1,2021-04-26
16333,9,47,-1,2021-04-26
16334,26,75,14,2021-04-26
16335,1646,8026,548,2021-04-26
16340,92,307,16,2021-04-26
16341,135,384,11,2021-04-26
16342,220,722,26,2021-04-26
16345,142,640,33,2021-04-26
16346,138,557,41,2021-04-26
16347,88,381,19,2021-04-26
16350,108,385,25,2021-04-26
16351,56,316,10,2021-04-26
16353,89,434,26,2021-04-26
16354,696,2289,56,2021-04-26
16360,48,259,20,2021-04-26
16362,41,203,14,2021-04-26
16364,48,166,24,2021-04-26
16365,925,4500,240,2021-04-26
16371,203,953,132,2021-04-26
16372,23,95,15,2021-04-26
16373,170,536,67,2021-04-26
16374,57,269,23,2021-04-26
16401,216,731,36,2021-04-26
16402,41,122,-1,2021-04-26
16403,996,1732,70,2021-04-26
16404,135,466,14,2021-04-26
16405,32,132,7,2021-04-26
16406,244,1108,152,2021-04-26
16407,768,2130,123,2021-04-26
16410,97,333,19,2021-04-26
16411,82,268,6,2021-04-26
16412,586,2352,133,2021-04-26
16415,585,2484,72,2021-04-26
16417,595,1842,103,2021-04-26
16420,23,137,8,2021-04-26
16421,179,519,13,2021-04-26
16423,225,921,20,2021-04-26
16424,232,847,53,2021-04-26
16426,244,844,25,2021-04-26
16428,751,2747,46,2021-04-26
16430,-1,18,0,2021-04-26
16433,364,1318,123,2021-04-26
16434,102,312,12,2021-04-26
16435,74,313,34,2021-04-26
16436,43,115,11,2021-04-26
16438,336,1453,54,2021-04-26
16440,51,163,16,2021-04-26
16441,540,2070,103,2021-04-26
16442,155,499,23,2021-04-26
16443,74,255,12,2021-04-26
16444,11,39,26,2021-04-26
16501,124,622,5,2021-04-26
16502,1023,3939,126,2021-04-26
16503,938,3533,131,2021-04-26
16504,1081,3831,135,2021-04-26
16505,938,4517,99,2021-04-26
16506,1535,6315,194,2021-04-26
16507,593,2235,52,2021-04-26
16508,919,4181,138,2021-04-26
16509,1699,7764,325,2021-04-26
16510,1557,5852,177,2021-04-26
16511,870,3012,91,2021-04-26
16565,0,6,0,2021-04-26
16601,2477,8915,622,2021-04-26
16602,1968,7361,513,2021-04-26
16611,164,585,45,2021-04-26
16613,112,365,17,2021-04-26
16616,5,26,-1,2021-04-26
16617,167,691,46,2021-04-26
16620,26,94,8,2021-04-26
16621,52,143,13,2021-04-26
16622,21,53,7,2021-04-26
16623,26,125,10,2021-04-26
16625,178,811,91,2021-04-26
16627,110,405,30,2021-04-26
16630,336,1232,99,2021-04-26
16634,16,75,-1,2021-04-26
16635,811,3588,239,2021-04-26
16636,60,181,14,2021-04-26
16637,158,573,51,2021-04-26
16639,70,206,18,2021-04-26
16640,63,254,24,2021-04-26
16641,192,648,67,2021-04-26
16645,14,33,0,2021-04-26
16646,215,698,42,2021-04-26
16647,59,179,15,2021-04-26
16648,1420,4779,406,2021-04-26
16650,93,321,29,2021-04-26
16651,231,840,56,2021-04-26
16652,1887,8144,264,2021-04-26
16655,113,299,64,2021-04-26
16656,87,226,26,2021-04-26
16657,70,306,17,2021-04-26
16659,15,50,5,2021-04-26
16661,58,191,17,2021-04-26
16662,360,1514,115,2021-04-26
16664,81,317,35,2021-04-26
16666,200,723,55,2021-04-26
16667,88,277,31,2021-04-26
16668,248,934,74,2021-04-26
16669,182,603,49,2021-04-26
16670,9,41,5,2021-04-26
