ZIP_CODE,Positive,Negative,Probable,date
15521,229,451,157,2022-01-25
15522,1727,3428,732,2022-01-25
15530,859,1907,314,2022-01-25
15531,549,1213,253,2022-01-25
15533,165,333,97,2022-01-25
15534,95,167,79,2022-01-25
15535,248,432,115,2022-01-25
15536,49,135,29,2022-01-25
15537,1117,2045,509,2022-01-25
15538,83,188,40,2022-01-25
15539,97,161,50,2022-01-25
15541,535,1090,201,2022-01-25
15542,199,344,64,2022-01-25
15545,373,572,184,2022-01-25
15546,51,124,23,2022-01-25
15550,214,419,112,2022-01-25
15552,1078,2044,266,2022-01-25
15554,275,597,238,2022-01-25
15555,10,37,9,2022-01-25
15558,274,525,58,2022-01-25
15559,238,465,165,2022-01-25
15562,28,75,6,2022-01-25
15563,398,938,218,2022-01-25
15564,16,21,8,2022-01-25
15705,67,248,91,2022-01-25
15711,56,96,19,2022-01-25
15714,877,2039,370,2022-01-25
15716,86,184,36,2022-01-25
15720,27,39,7,2022-01-25
15721,21,51,5,2022-01-25
15722,335,630,161,2022-01-25
15724,305,673,132,2022-01-25
15728,423,978,235,2022-01-25
15729,163,400,64,2022-01-25
15730,11,24,5,2022-01-25
15739,65,151,26,2022-01-25
15742,172,264,46,2022-01-25
15744,9,25,9,2022-01-25
15750,35,60,13,2022-01-25
15753,50,97,23,2022-01-25
15757,194,388,84,2022-01-25
15758,5,7,0,2022-01-25
15759,357,641,112,2022-01-25
15760,24,40,5,2022-01-25
15762,118,268,62,2022-01-25
15763,0,7,-1,2022-01-25
15764,7,21,-1,2022-01-25
15765,199,464,74,2022-01-25
15767,1682,3605,637,2022-01-25
15770,20,44,8,2022-01-25
15771,110,208,35,2022-01-25
15772,180,446,66,2022-01-25
15773,103,166,34,2022-01-25
15775,-1,0,0,2022-01-25
15776,10,10,5,2022-01-25
15777,19,50,11,2022-01-25
15778,24,37,13,2022-01-25
15780,27,38,5,2022-01-25
15784,19,39,6,2022-01-25
15801,2172,5888,1713,2022-01-25
15821,20,29,5,2022-01-25
15823,118,325,103,2022-01-25
15824,486,1227,439,2022-01-25
15825,1405,2770,563,2022-01-25
15827,36,72,23,2022-01-25
15828,30,69,5,2022-01-25
15829,174,335,64,2022-01-25
15832,20,76,8,2022-01-25
15834,435,1308,199,2022-01-25
15840,156,478,137,2022-01-25
15845,351,758,217,2022-01-25
15846,313,797,278,2022-01-25
15848,84,220,80,2022-01-25
15849,140,337,93,2022-01-25
15851,650,1469,487,2022-01-25
15853,812,1848,480,2022-01-25
15856,80,191,53,2022-01-25
15857,1473,3334,1318,2022-01-25
15860,162,291,47,2022-01-25
15861,16,23,-1,2022-01-25
15864,258,495,92,2022-01-25
15865,126,298,119,2022-01-25
15866,14,39,21,2022-01-25
15868,186,360,150,2022-01-25
15870,118,257,91,2022-01-25
15901,577,1705,170,2022-01-25
15902,1695,4689,693,2022-01-25
15904,2412,6170,1184,2022-01-25
15905,2935,8545,1520,2022-01-25
15906,1546,4210,765,2022-01-25
15909,804,2004,342,2022-01-25
