ZIP_CODE,Positive,Negative,Probable,date
15521,125,387,78,2021-09-16
15522,985,2833,399,2021-09-16
15530,518,1810,171,2021-09-16
15531,268,1087,135,2021-09-16
15533,98,284,50,2021-09-16
15534,55,152,32,2021-09-16
15535,132,372,67,2021-09-16
15536,25,119,15,2021-09-16
15537,658,1752,295,2021-09-16
15538,49,161,21,2021-09-16
15539,56,140,27,2021-09-16
15541,275,1008,98,2021-09-16
15542,108,298,21,2021-09-16
15545,224,520,76,2021-09-16
15546,22,104,10,2021-09-16
15550,106,358,52,2021-09-16
15552,498,1869,130,2021-09-16
15554,162,507,110,2021-09-16
15555,6,34,-1,2021-09-16
15558,133,475,27,2021-09-16
15559,139,410,79,2021-09-16
15562,17,56,-1,2021-09-16
15563,194,827,109,2021-09-16
15564,7,17,-1,2021-09-16
15705,33,113,72,2021-09-16
15711,19,88,14,2021-09-16
15714,432,1883,174,2021-09-16
15716,45,167,23,2021-09-16
15720,11,39,-1,2021-09-16
15721,12,41,-1,2021-09-16
15722,180,586,84,2021-09-16
15724,150,604,76,2021-09-16
15728,182,839,132,2021-09-16
15729,75,343,38,2021-09-16
15730,7,15,-1,2021-09-16
15739,23,133,13,2021-09-16
15742,85,245,27,2021-09-16
15744,-1,18,5,2021-09-16
15750,16,52,11,2021-09-16
15753,26,88,14,2021-09-16
15757,95,316,51,2021-09-16
15758,-1,8,0,2021-09-16
15759,119,550,63,2021-09-16
15760,17,37,-1,2021-09-16
15762,54,262,27,2021-09-16
15763,0,-1,-1,2021-09-16
15764,-1,11,0,2021-09-16
15765,69,397,30,2021-09-16
15767,741,2985,361,2021-09-16
15770,12,39,5,2021-09-16
15771,52,162,18,2021-09-16
15772,74,360,30,2021-09-16
15773,48,144,11,2021-09-16
15775,-1,0,0,2021-09-16
15776,-1,8,-1,2021-09-16
15777,10,40,10,2021-09-16
15778,-1,35,7,2021-09-16
15780,15,30,-1,2021-09-16
15784,9,34,0,2021-09-16
15801,1143,5361,888,2021-09-16
15821,10,19,-1,2021-09-16
15823,60,275,42,2021-09-16
15824,215,1099,199,2021-09-16
15825,635,2414,351,2021-09-16
15827,18,58,12,2021-09-16
15828,8,62,-1,2021-09-16
15829,71,263,46,2021-09-16
15832,9,64,-1,2021-09-16
15834,222,1143,100,2021-09-16
15840,66,409,54,2021-09-16
15845,185,692,113,2021-09-16
15846,150,671,163,2021-09-16
15848,38,180,33,2021-09-16
15849,48,300,33,2021-09-16
15851,290,1322,230,2021-09-16
15853,408,1712,235,2021-09-16
15856,42,167,25,2021-09-16
15857,764,2949,674,2021-09-16
15860,66,236,13,2021-09-16
15861,13,21,-1,2021-09-16
15864,112,405,58,2021-09-16
15865,48,250,50,2021-09-16
15866,5,36,14,2021-09-16
15868,97,319,76,2021-09-16
15870,56,225,52,2021-09-16
15901,337,1628,71,2021-09-16
15902,804,4389,290,2021-09-16
15904,1213,5581,541,2021-09-16
15905,1607,7843,708,2021-09-16
15906,741,3980,302,2021-09-16
15909,393,1931,177,2021-09-16
15920,65,325,25,2021-09-16
15924,78,309,41,2021-09-16
15926,188,790,86,2021-09-16
15927,82,405,45,2021-09-16
15928,151,692,108,2021-09-16
15931,1010,4024,334,2021-09-16
15934,23,85,16,2021-09-16
15935,210,861,108,2021-09-16
15936,100,486,58,2021-09-16
15938,239,864,76,2021-09-16
15940,445,1053,542,2021-09-16
15942,138,711,93,2021-09-16
15943,309,1428,146,2021-09-16
15944,191,968,92,2021-09-16
15945,18,77,14,2021-09-16
15946,545,2310,286,2021-09-16
15949,64,217,28,2021-09-16
15951,47,247,28,2021-09-16
15952,77,475,58,2021-09-16
15953,5,23,-1,2021-09-16
15954,144,678,42,2021-09-16
15955,133,619,77,2021-09-16
15956,209,1014,119,2021-09-16
15957,20,139,25,2021-09-16
15958,156,639,92,2021-09-16
15960,23,149,15,2021-09-16
15961,77,298,39,2021-09-16
15963,686,3485,533,2021-09-16
16020,83,276,32,2021-09-16
16022,34,99,23,2021-09-16
16025,422,1356,234,2021-09-16
16028,146,466,44,2021-09-16
16030,23,72,10,2021-09-16
16036,10,26,7,2021-09-16
16038,256,785,69,2021-09-16
16040,51,203,34,2021-09-16
