ZIP_CODE,Positive,Negative,Probable,date
15521,168,441,103,2021-11-21
15522,1316,3261,539,2021-11-21
15530,643,1915,214,2021-11-21
15531,385,1210,187,2021-11-21
15533,124,327,72,2021-11-21
15534,70,162,56,2021-11-21
15535,175,393,91,2021-11-21
15536,30,131,20,2021-11-21
15537,856,1945,390,2021-11-21
15538,65,184,23,2021-11-21
15539,75,148,36,2021-11-21
15541,385,1091,135,2021-11-21
15542,139,341,31,2021-11-21
15545,285,565,115,2021-11-21
15546,40,118,18,2021-11-21
15550,174,398,73,2021-11-21
15552,698,2054,184,2021-11-21
15554,214,575,168,2021-11-21
15555,8,37,8,2021-11-21
15558,183,529,38,2021-11-21
15559,183,441,112,2021-11-21
15562,22,64,-1,2021-11-21
15563,271,925,151,2021-11-21
15564,13,19,-1,2021-11-21
15705,49,232,93,2021-11-21
15711,31,100,15,2021-11-21
15714,668,2004,280,2021-11-21
15716,60,187,30,2021-11-21
15720,12,45,-1,2021-11-21
15721,19,48,5,2021-11-21
15722,241,618,127,2021-11-21
15724,221,663,101,2021-11-21
15728,283,941,165,2021-11-21
15729,99,396,47,2021-11-21
15730,9,20,5,2021-11-21
15739,35,149,16,2021-11-21
15742,107,262,37,2021-11-21
15744,5,23,6,2021-11-21
15750,21,64,12,2021-11-21
15753,38,96,17,2021-11-21
15757,128,358,70,2021-11-21
15758,5,7,0,2021-11-21
15759,201,634,89,2021-11-21
15760,18,42,-1,2021-11-21
15762,80,271,44,2021-11-21
15763,0,6,-1,2021-11-21
15764,5,11,-1,2021-11-21
15765,116,451,45,2021-11-21
15767,1193,3351,500,2021-11-21
15770,15,42,5,2021-11-21
15771,79,194,27,2021-11-21
15772,122,411,50,2021-11-21
15773,66,156,21,2021-11-21
15775,-1,0,0,2021-11-21
15776,-1,9,-1,2021-11-21
15777,14,47,11,2021-11-21
15778,9,40,10,2021-11-21
15780,22,35,-1,2021-11-21
15784,17,36,-1,2021-11-21
15801,1508,5707,1256,2021-11-21
15821,13,25,-1,2021-11-21
15823,76,309,65,2021-11-21
15824,341,1197,334,2021-11-21
15825,1035,2687,452,2021-11-21
15827,24,65,17,2021-11-21
15828,24,63,-1,2021-11-21
15829,120,308,55,2021-11-21
15832,13,71,5,2021-11-21
