ZIP_CODE,Positive,Negative,Probable,date
15521,107,352,61,2021-06-23
15522,893,2594,338,2021-06-23
15530,488,1715,145,2021-06-23
15531,243,1013,112,2021-06-23
15533,76,249,39,2021-06-23
15534,52,132,26,2021-06-23
15535,111,331,57,2021-06-23
15536,21,104,13,2021-06-23
15537,586,1606,260,2021-06-23
15538,45,152,18,2021-06-23
15539,38,121,17,2021-06-23
15541,233,936,82,2021-06-23
15542,97,273,20,2021-06-23
15545,203,470,68,2021-06-23
15546,22,95,9,2021-06-23
15550,92,331,43,2021-06-23
15552,437,1709,114,2021-06-23
15554,143,464,81,2021-06-23
15555,6,32,-1,2021-06-23
15558,118,437,23,2021-06-23
15559,126,365,57,2021-06-23
15562,17,47,-1,2021-06-23
15563,182,757,93,2021-06-23
15564,6,17,-1,2021-06-23
15705,30,47,66,2021-06-23
15711,19,76,11,2021-06-23
15714,394,1754,144,2021-06-23
15716,40,146,20,2021-06-23
15720,8,34,-1,2021-06-23
15721,10,38,-1,2021-06-23
15722,173,549,76,2021-06-23
15724,142,545,58,2021-06-23
15728,164,756,118,2021-06-23
15729,69,302,33,2021-06-23
15730,5,14,-1,2021-06-23
15739,15,117,8,2021-06-23
15742,78,212,24,2021-06-23
15744,-1,18,5,2021-06-23
15750,11,48,8,2021-06-23
15753,25,76,14,2021-06-23
15757,89,273,48,2021-06-23
15758,-1,7,0,2021-06-23
15759,102,504,55,2021-06-23
15760,14,35,-1,2021-06-23
15762,45,238,20,2021-06-23
15763,0,-1,-1,2021-06-23
15764,-1,11,0,2021-06-23
15765,66,356,27,2021-06-23
15767,633,2662,310,2021-06-23
15770,11,34,-1,2021-06-23
15771,46,143,13,2021-06-23
15772,63,318,22,2021-06-23
15773,43,136,10,2021-06-23
15775,-1,0,0,2021-06-23
15776,-1,8,-1,2021-06-23
15777,10,37,9,2021-06-23
15778,-1,36,6,2021-06-23
15780,13,28,-1,2021-06-23
15784,9,28,0,2021-06-23
15801,1001,4842,788,2021-06-23
15821,9,15,-1,2021-06-23
15823,58,251,41,2021-06-23
15824,188,961,195,2021-06-23
15825,547,2161,308,2021-06-23
15827,10,54,7,2021-06-23
15828,6,47,-1,2021-06-23
15829,59,235,46,2021-06-23
15832,8,60,-1,2021-06-23
15834,184,1034,84,2021-06-23
15840,63,358,48,2021-06-23
15845,170,627,98,2021-06-23
15846,117,618,125,2021-06-23
15848,35,171,30,2021-06-23
15849,43,272,33,2021-06-23
15851,240,1163,196,2021-06-23
15853,367,1545,203,2021-06-23
15856,34,145,24,2021-06-23
15857,666,2734,552,2021-06-23
15860,59,212,12,2021-06-23
15861,12,18,-1,2021-06-23
15864,98,375,52,2021-06-23
15865,39,227,45,2021-06-23
15866,-1,31,10,2021-06-23
15868,88,289,60,2021-06-23
15870,49,213,47,2021-06-23
15901,298,1555,62,2021-06-23
15902,737,4065,242,2021-06-23
15904,1090,5194,469,2021-06-23
15905,1477,7291,591,2021-06-23
15906,676,3686,271,2021-06-23
15909,364,1810,137,2021-06-23
15920,57,292,19,2021-06-23
15924,71,296,34,2021-06-23
15926,174,736,65,2021-06-23
15927,72,380,40,2021-06-23
15928,129,651,97,2021-06-23
15931,976,3813,298,2021-06-23
15934,17,81,10,2021-06-23
15935,193,799,92,2021-06-23
15936,87,460,42,2021-06-23
15938,209,806,66,2021-06-23
15940,440,992,526,2021-06-23
15942,124,668,82,2021-06-23
15943,283,1368,119,2021-06-23
15944,173,881,86,2021-06-23
15945,13,77,12,2021-06-23
15946,513,2140,248,2021-06-23
15949,40,195,24,2021-06-23
15951,43,227,27,2021-06-23
15952,70,439,57,2021-06-23
15953,5,22,-1,2021-06-23
15954,132,631,33,2021-06-23
15955,124,576,72,2021-06-23
15956,191,949,100,2021-06-23
15957,19,134,16,2021-06-23
15958,143,601,76,2021-06-23
15960,20,145,14,2021-06-23
15961,60,278,30,2021-06-23
15963,609,3271,454,2021-06-23
16020,53,250,32,2021-06-23
16022,22,97,21,2021-06-23
16025,348,1242,223,2021-06-23
16028,115,428,39,2021-06-23
16030,15,57,7,2021-06-23
16036,5,26,7,2021-06-23
16038,221,715,61,2021-06-23
16040,33,176,33,2021-06-23
16041,97,430,65,2021-06-23
16049,141,590,70,2021-06-23
16050,66,346,50,2021-06-23
16051,120,674,88,2021-06-23
16057,599,2867,301,2021-06-23
16061,104,548,85,2021-06-23
