ZIP_CODE,Positive,Negative,Probable,date
15521,238,453,164,2022-02-06
15522,1804,3405,789,2022-02-06
15530,900,1888,325,2022-02-06
15531,578,1214,264,2022-02-06
15533,173,331,100,2022-02-06
15534,96,169,82,2022-02-06
15535,264,433,117,2022-02-06
15536,52,135,30,2022-02-06
15537,1161,2040,532,2022-02-06
15538,87,187,41,2022-02-06
15539,99,160,52,2022-02-06
15541,555,1096,210,2022-02-06
15542,209,345,67,2022-02-06
15545,382,578,188,2022-02-06
15546,52,125,25,2022-02-06
15550,220,417,116,2022-02-06
15552,1140,2025,270,2022-02-06
15554,280,593,251,2022-02-06
15555,11,36,10,2022-02-06
15558,291,517,60,2022-02-06
15559,252,463,182,2022-02-06
15562,29,76,6,2022-02-06
15563,422,930,233,2022-02-06
15564,17,23,8,2022-02-06
15705,85,256,94,2022-02-06
15711,59,95,20,2022-02-06
15714,930,2017,392,2022-02-06
15716,93,185,38,2022-02-06
15720,27,39,8,2022-02-06
15721,23,49,6,2022-02-06
15722,353,629,164,2022-02-06
15724,320,671,134,2022-02-06
15728,449,984,241,2022-02-06
15729,173,400,66,2022-02-06
15730,11,24,5,2022-02-06
15739,77,148,26,2022-02-06
15742,184,269,48,2022-02-06
15744,11,25,10,2022-02-06
15750,35,61,13,2022-02-06
15753,54,96,25,2022-02-06
15757,211,386,89,2022-02-06
15758,5,7,0,2022-02-06
15759,388,643,115,2022-02-06
15760,24,41,5,2022-02-06
15762,129,263,63,2022-02-06
15763,-1,6,-1,2022-02-06
15764,10,19,-1,2022-02-06
15765,211,463,76,2022-02-06
15767,1794,3614,666,2022-02-06
15770,20,44,8,2022-02-06
15771,115,212,36,2022-02-06
15772,196,443,67,2022-02-06
15773,108,168,35,2022-02-06
15775,-1,0,0,2022-02-06
15776,11,11,5,2022-02-06
15777,20,50,12,2022-02-06
15778,27,36,13,2022-02-06
15780,30,38,-1,2022-02-06
15784,20,38,6,2022-02-06
15801,2336,5911,1777,2022-02-06
15821,21,29,5,2022-02-06
15823,128,325,106,2022-02-06
15824,521,1224,460,2022-02-06
15825,1473,2768,581,2022-02-06
15827,36,74,23,2022-02-06
15828,31,69,7,2022-02-06
15829,180,335,64,2022-02-06
15832,22,75,8,2022-02-06
15834,479,1319,212,2022-02-06
15840,174,484,139,2022-02-06
15845,380,755,227,2022-02-06
15846,349,794,282,2022-02-06
15848,98,220,89,2022-02-06
15849,155,334,103,2022-02-06
15851,695,1481,514,2022-02-06
15853,867,1854,509,2022-02-06
15856,84,192,57,2022-02-06
15857,1565,3318,1363,2022-02-06
15860,171,291,48,2022-02-06
15861,16,23,-1,2022-02-06
15864,271,493,94,2022-02-06
15865,147,292,125,2022-02-06
15866,14,39,22,2022-02-06
15868,194,357,151,2022-02-06
15870,129,257,91,2022-02-06
15901,612,1696,175,2022-02-06
15902,1832,4671,738,2022-02-06
15904,2565,6163,1229,2022-02-06
15905,3167,8525,1563,2022-02-06
15906,1663,4186,780,2022-02-06
15909,858,1985,362,2022-02-06
15920,152,353,57,2022-02-06
15924,154,327,81,2022-02-06
15926,381,839,201,2022-02-06
15927,195,418,97,2022-02-06
15928,299,738,204,2022-02-06
15931,1591,4215,687,2022-02-06
15934,40,88,40,2022-02-06
15935,386,921,240,2022-02-06
15936,245,475,144,2022-02-06
15938,449,950,208,2022-02-06
15940,826,1094,548,2022-02-06
15942,278,736,177,2022-02-06
15943,573,1433,356,2022-02-06
15944,442,1110,214,2022-02-06
15945,40,82,20,2022-02-06
15946,1075,2482,546,2022-02-06
15949,139,230,53,2022-02-06
15951,116,253,63,2022-02-06
15952,198,480,132,2022-02-06
15953,13,21,5,2022-02-06
15954,352,748,110,2022-02-06
15955,305,695,194,2022-02-06
15956,464,1039,274,2022-02-06
15957,46,153,42,2022-02-06
15958,291,681,212,2022-02-06
15960,50,158,46,2022-02-06
15961,150,303,86,2022-02-06
15963,1498,3779,1082,2022-02-06
16020,207,312,45,2022-02-06
16022,82,134,25,2022-02-06
16025,980,1504,300,2022-02-06
16028,301,550,54,2022-02-06
16030,50,77,13,2022-02-06
16036,24,33,8,2022-02-06
16038,558,907,101,2022-02-06
16040,119,248,56,2022-02-06
16041,278,552,89,2022-02-06
16049,472,800,123,2022-02-06
16050,247,418,81,2022-02-06
16051,382,903,162,2022-02-06
16057,2133,4556,496,2022-02-06
16061,401,667,110,2022-02-06
16101,5072,11061,2362,2022-02-06
16102,791,1680,363,2022-02-06
16105,2078,5378,1059,2022-02-06
16110,55,105,26,2022-02-06
16111,140,213,44,2022-02-06
16112,200,436,107,2022-02-06
16114,58,180,27,2022-02-06
16116,364,782,189,2022-02-06
16121,794,1638,164,2022-02-06
16124,193,532,73,2022-02-06
16125,2550,6320,749,2022-02-06
16127,2530,4928,620,2022-02-06
16130,273,512,65,2022-02-06
16131,132,234,36,2022-02-06
16133,172,386,45,2022-02-06
16134,464,1189,159,2022-02-06
16137,1959,5156,512,2022-02-06
16142,653,1583,282,2022-02-06
16143,358,757,167,2022-02-06
16145,400,708,109,2022-02-06
16146,2315,5217,532,2022-02-06
16148,2828,6239,905,2022-02-06
16150,1113,2530,373,2022-02-06
16153,350,696,89,2022-02-06
16154,323,792,107,2022-02-06
16156,396,741,168,2022-02-06
16159,710,1324,230,2022-02-06
16172,66,203,67,2022-02-06
16213,21,35,5,2022-02-06
16214,1388,2636,289,2022-02-06
16217,10,45,-1,2022-02-06
16218,235,326,37,2022-02-06
16224,208,317,41,2022-02-06
16225,5,19,-1,2022-02-06
16232,644,987,141,2022-02-06
16233,161,236,55,2022-02-06
16234,13,16,-1,2022-02-06
16235,186,327,70,2022-02-06
16239,1608,2583,75,2022-02-06
16240,203,351,63,2022-02-06
16242,808,1226,144,2022-02-06
16248,518,835,109,2022-02-06
16253,21,47,-1,2022-02-06
16254,602,1000,210,2022-02-06
16255,454,515,76,2022-02-06
16258,313,463,72,2022-02-06
16260,37,51,5,2022-02-06
16301,2604,4374,562,2022-02-06
16311,56,104,16,2022-02-06
16313,245,461,98,2022-02-06
16314,899,1596,306,2022-02-06
16316,870,1840,272,2022-02-06
16317,278,380,60,2022-02-06
16319,199,309,52,2022-02-06
16321,26,28,-1,2022-02-06
16323,2735,4527,612,2022-02-06
16326,64,104,14,2022-02-06
16327,455,773,111,2022-02-06
16329,44,114,18,2022-02-06
16331,12,18,6,2022-02-06
16332,12,39,-1,2022-02-06
16333,33,66,6,2022-02-06
16334,80,97,14,2022-02-06
16335,4899,11457,1288,2022-02-06
16340,237,452,68,2022-02-06
16341,414,609,40,2022-02-06
16342,490,781,70,2022-02-06
16345,362,890,170,2022-02-06
16346,462,793,93,2022-02-06
16347,311,493,76,2022-02-06
16350,268,533,87,2022-02-06
16351,236,500,52,2022-02-06
16353,400,737,48,2022-02-06
16354,2272,3568,190,2022-02-06
16360,224,419,40,2022-02-06
16362,169,278,48,2022-02-06
16364,137,253,44,2022-02-06
16365,2484,5683,868,2022-02-06
16371,443,1061,268,2022-02-06
16372,75,125,21,2022-02-06
16373,538,800,110,2022-02-06
16374,222,406,42,2022-02-06
16401,680,1188,89,2022-02-06
16402,80,158,16,2022-02-06
16403,1764,2863,220,2022-02-06
16404,477,794,54,2022-02-06
16405,83,185,14,2022-02-06
16406,569,1446,244,2022-02-06
16407,1728,3150,253,2022-02-06
16410,318,502,47,2022-02-06
16411,242,408,25,2022-02-06
16412,1754,3501,276,2022-02-06
16415,1515,3784,258,2022-02-06
16417,1557,2692,301,2022-02-06
16420,97,195,16,2022-02-06
16421,462,727,50,2022-02-06
16423,701,1380,118,2022-02-06
16424,659,1332,186,2022-02-06
16426,728,1249,89,2022-02-06
16428,2235,3963,210,2022-02-06
16430,8,37,-1,2022-02-06
16433,955,1876,302,2022-02-06
16434,282,501,42,2022-02-06
16435,253,535,74,2022-02-06
16436,100,160,21,2022-02-06
16438,1170,2130,173,2022-02-06
16440,119,280,31,2022-02-06
16441,1842,3172,284,2022-02-06
16442,461,794,68,2022-02-06
16443,253,395,20,2022-02-06
16444,54,359,28,2022-02-06
16501,333,865,20,2022-02-06
16502,2995,5825,371,2022-02-06
16503,2833,5386,383,2022-02-06
16504,2995,5632,395,2022-02-06
16505,2628,6570,323,2022-02-06
16506,4195,9714,517,2022-02-06
16507,1642,3292,171,2022-02-06
16508,2705,6005,426,2022-02-06
16509,4720,11654,902,2022-02-06
16510,4415,8864,553,2022-02-06
16511,2144,4365,245,2022-02-06
16565,-1,39,0,2022-02-06
16601,5885,11555,1414,2022-02-06
16602,4999,9936,1291,2022-02-06
16611,403,764,79,2022-02-06
16613,244,476,71,2022-02-06
16616,23,37,10,2022-02-06
16617,547,907,102,2022-02-06
16620,71,133,19,2022-02-06
16621,133,214,34,2022-02-06
16622,47,64,12,2022-02-06
16623,70,166,30,2022-02-06
16625,546,1044,231,2022-02-06
16627,280,555,115,2022-02-06
16630,684,1539,300,2022-02-06
16634,55,100,10,2022-02-06
16635,1947,4732,498,2022-02-06
16636,139,225,40,2022-02-06
16637,407,764,140,2022-02-06
16639,156,270,50,2022-02-06
16640,148,359,64,2022-02-06
16641,419,829,158,2022-02-06
16645,20,46,-1,2022-02-06
16646,445,862,139,2022-02-06
16647,119,261,35,2022-02-06
16648,2945,6188,780,2022-02-06
16650,260,447,87,2022-02-06
16651,554,1082,126,2022-02-06
16652,3455,10332,589,2022-02-06
16655,237,372,153,2022-02-06
16656,208,293,70,2022-02-06
16657,207,446,42,2022-02-06
16659,37,67,18,2022-02-06
16661,151,302,31,2022-02-06
16662,780,1887,261,2022-02-06
16664,222,426,77,2022-02-06
16666,543,946,112,2022-02-06
16667,201,348,110,2022-02-06
16668,577,1121,204,2022-02-06
16669,384,794,85,2022-02-06
16670,17,56,5,2022-02-06
16671,100,183,18,2022-02-06
16673,757,1615,258,2022-02-06
16674,107,192,43,2022-02-06
16678,453,847,119,2022-02-06
16679,142,239,34,2022-02-06
16680,97,133,8,2022-02-06
16682,33,56,14,2022-02-06
16683,46,169,9,2022-02-06
16685,52,80,19,2022-02-06
16686,2632,5568,459,2022-02-06
16689,49,121,65,2022-02-06
16691,52,96,28,2022-02-06
16692,96,257,35,2022-02-06
16693,790,1615,169,2022-02-06
16695,130,271,52,2022-02-06
16701,2391,5889,633,2022-02-06
16720,182,313,39,2022-02-06
16724,18,35,-1,2022-02-06
16726,66,167,22,2022-02-06
16727,41,114,7,2022-02-06
16729,99,224,28,2022-02-06
16731,351,699,67,2022-02-06
16732,36,119,8,2022-02-06
16734,40,42,14,2022-02-06
16735,958,1360,256,2022-02-06
16738,240,1119,356,2022-02-06
16740,145,267,44,2022-02-06
16743,709,1238,67,2022-02-06
16744,46,76,12,2022-02-06
16745,79,147,19,2022-02-06
16746,210,367,16,2022-02-06
16748,430,645,67,2022-02-06
16749,663,1347,148,2022-02-06
16750,54,118,7,2022-02-06
16801,8382,23548,1108,2022-02-06
16802,1807,4919,257,2022-02-06
16803,3102,14912,619,2022-02-06
16820,177,371,26,2022-02-06
16821,75,111,15,2022-02-06
16822,510,693,36,2022-02-06
16823,5986,15111,548,2022-02-06
16827,708,2935,96,2022-02-06
16828,762,1910,80,2022-02-06
16829,175,219,24,2022-02-06
16830,2519,4628,710,2022-02-06
16832,86,157,8,2022-02-06
16833,895,1645,311,2022-02-06
16836,193,304,26,2022-02-06
16837,26,63,8,2022-02-06
16838,230,468,143,2022-02-06
16839,111,135,15,2022-02-06
16840,85,184,8,2022-02-06
16841,1035,1760,95,2022-02-06
16844,523,1034,53,2022-02-06
16845,506,533,35,2022-02-06
16850,16,17,-1,2022-02-06
16852,42,117,5,2022-02-06
16854,171,388,16,2022-02-06
16858,701,1244,148,2022-02-06
16859,96,177,6,2022-02-06
16860,60,124,15,2022-02-06
16861,55,90,14,2022-02-06
16863,122,213,27,2022-02-06
16864,19,25,0,2022-02-06
16865,215,812,20,2022-02-06
16866,1958,6010,294,2022-02-06
16870,1214,3786,163,2022-02-06
16871,9,13,-1,2022-02-06
16872,157,342,16,2022-02-06
16874,265,508,35,2022-02-06
16875,635,1518,71,2022-02-06
16876,44,101,9,2022-02-06
16877,288,676,29,2022-02-06
16878,357,580,76,2022-02-06
16879,80,142,12,2022-02-06
16881,366,594,112,2022-02-06
16882,40,120,-1,2022-02-06
16901,1479,3346,493,2022-02-06
16912,282,594,194,2022-02-06
16914,431,787,49,2022-02-06
16915,1105,1930,112,2022-02-06
16917,188,405,79,2022-02-06
16920,271,639,113,2022-02-06
16921,65,148,14,2022-02-06
16922,203,507,39,2022-02-06
16923,175,271,14,2022-02-06
16925,614,1185,67,2022-02-06
16926,122,280,19,2022-02-06
16927,63,126,12,2022-02-06
16928,187,345,47,2022-02-06
16929,326,743,99,2022-02-06
16930,146,288,68,2022-02-06
16932,103,191,31,2022-02-06
16933,718,1731,287,2022-02-06
16935,164,297,54,2022-02-06
16936,356,659,53,2022-02-06
16937,24,42,5,2022-02-06
16938,83,183,22,2022-02-06
16939,6,29,9,2022-02-06
16940,26,49,7,2022-02-06
16941,11,10,0,2022-02-06
