ZIP_CODE,Positive,Negative,Probable,date
15521,117,371,75,2021-09-02
15522,939,2731,374,2021-09-02
15530,504,1778,164,2021-09-02
15531,251,1071,128,2021-09-02
15533,90,269,45,2021-09-02
15534,54,142,29,2021-09-02
15535,119,350,63,2021-09-02
15536,23,116,15,2021-09-02
15537,614,1691,275,2021-09-02
15538,48,159,18,2021-09-02
15539,47,134,21,2021-09-02
15541,253,988,87,2021-09-02
15542,104,285,21,2021-09-02
15545,222,507,72,2021-09-02
15546,22,101,9,2021-09-02
15550,98,348,50,2021-09-02
15552,476,1812,126,2021-09-02
15554,151,497,92,2021-09-02
15555,6,34,-1,2021-09-02
15558,126,459,25,2021-09-02
15559,127,397,65,2021-09-02
15562,17,52,-1,2021-09-02
15563,189,802,101,2021-09-02
15564,6,18,-1,2021-09-02
15705,30,80,69,2021-09-02
15711,19,82,14,2021-09-02
15714,403,1846,163,2021-09-02
15716,42,157,21,2021-09-02
15720,9,35,-1,2021-09-02
15721,10,41,-1,2021-09-02
15722,174,579,81,2021-09-02
15724,145,581,67,2021-09-02
15728,169,817,125,2021-09-02
15729,70,327,35,2021-09-02
15730,5,16,-1,2021-09-02
15739,16,130,10,2021-09-02
15742,80,234,25,2021-09-02
15744,-1,19,5,2021-09-02
15750,15,49,10,2021-09-02
15753,26,83,14,2021-09-02
15757,89,296,50,2021-09-02
15758,-1,8,0,2021-09-02
15759,106,541,59,2021-09-02
15760,16,36,-1,2021-09-02
15762,51,259,23,2021-09-02
15763,0,-1,-1,2021-09-02
15764,-1,11,0,2021-09-02
15765,68,384,28,2021-09-02
15767,687,2841,340,2021-09-02
15770,11,37,-1,2021-09-02
15771,49,153,16,2021-09-02
15772,69,345,28,2021-09-02
15773,43,146,11,2021-09-02
15775,-1,0,0,2021-09-02
15776,-1,8,-1,2021-09-02
15777,10,40,10,2021-09-02
15778,-1,36,6,2021-09-02
15780,13,30,-1,2021-09-02
15784,9,34,0,2021-09-02
15801,1073,5196,839,2021-09-02
15821,9,18,-1,2021-09-02
15823,59,269,42,2021-09-02
15824,204,1056,197,2021-09-02
15825,594,2343,324,2021-09-02
15827,15,58,9,2021-09-02
15828,7,57,-1,2021-09-02
15829,67,254,46,2021-09-02
15832,8,63,-1,2021-09-02
15834,202,1125,91,2021-09-02
15840,64,390,52,2021-09-02
15845,174,683,102,2021-09-02
15846,136,666,137,2021-09-02
15848,37,180,31,2021-09-02
15849,46,287,34,2021-09-02
15851,269,1267,212,2021-09-02
15853,392,1661,215,2021-09-02
15856,39,164,24,2021-09-02
15857,711,2904,585,2021-09-02
15860,63,228,12,2021-09-02
15861,13,19,-1,2021-09-02
15864,99,395,54,2021-09-02
15865,44,240,47,2021-09-02
15866,5,34,12,2021-09-02
15868,92,306,64,2021-09-02
15870,56,218,51,2021-09-02
15901,326,1608,70,2021-09-02
15902,776,4276,272,2021-09-02
15904,1156,5457,510,2021-09-02
15905,1553,7675,668,2021-09-02
15906,709,3891,291,2021-09-02
15909,370,1894,149,2021-09-02
15920,64,317,23,2021-09-02
15924,74,308,38,2021-09-02
15926,180,771,73,2021-09-02
15927,73,396,40,2021-09-02
15928,136,684,104,2021-09-02
15931,990,3964,320,2021-09-02
15934,19,87,12,2021-09-02
15935,204,843,100,2021-09-02
15936,93,484,47,2021-09-02
15938,228,836,72,2021-09-02
15940,441,1038,542,2021-09-02
15942,129,696,89,2021-09-02
15943,294,1405,138,2021-09-02
15944,187,941,87,2021-09-02
15945,14,79,12,2021-09-02
15946,523,2242,264,2021-09-02
15949,54,212,25,2021-09-02
15951,44,237,28,2021-09-02
15952,77,459,58,2021-09-02
15953,5,22,-1,2021-09-02
15954,138,663,42,2021-09-02
15955,126,607,75,2021-09-02
15956,200,981,109,2021-09-02
15957,19,138,19,2021-09-02
15958,151,634,84,2021-09-02
15960,21,150,15,2021-09-02
15961,70,296,38,2021-09-02
15963,647,3427,494,2021-09-02
16020,68,268,32,2021-09-02
16022,30,98,23,2021-09-02
16025,370,1319,230,2021-09-02
16028,127,450,43,2021-09-02
16030,15,65,7,2021-09-02
16036,10,25,7,2021-09-02
16038,238,759,66,2021-09-02
16040,39,190,35,2021-09-02
16041,111,453,71,2021-09-02
16049,162,628,76,2021-09-02
16050,79,364,57,2021-09-02
16051,139,737,104,2021-09-02
16057,675,3489,318,2021-09-02
16061,121,577,86,2021-09-02
16101,2359,9410,976,2021-09-02
16102,347,1400,143,2021-09-02
16105,1086,4406,427,2021-09-02
16110,26,85,13,2021-09-02
16111,55,175,25,2021-09-02
16112,101,366,56,2021-09-02
16114,22,144,12,2021-09-02
16116,185,678,81,2021-09-02
16121,340,1352,86,2021-09-02
