ZIP_CODE,Positive,Negative,Probable,date
15521,115,370,74,2021-08-28
15522,933,2710,369,2021-08-28
15530,500,1771,161,2021-08-28
15531,247,1070,119,2021-08-28
15533,88,264,43,2021-08-28
15534,52,144,28,2021-08-28
15535,117,349,61,2021-08-28
15536,23,116,15,2021-08-28
15537,607,1683,271,2021-08-28
15538,48,157,18,2021-08-28
15539,47,133,19,2021-08-28
15541,248,984,86,2021-08-28
15542,101,284,21,2021-08-28
15545,220,505,72,2021-08-28
15546,22,101,9,2021-08-28
15550,97,346,49,2021-08-28
15552,468,1800,126,2021-08-28
15554,145,492,91,2021-08-28
15555,6,34,-1,2021-08-28
15558,125,457,25,2021-08-28
15559,127,395,62,2021-08-28
15562,17,52,-1,2021-08-28
15563,188,793,100,2021-08-28
15564,6,18,-1,2021-08-28
15705,30,51,67,2021-08-28
15711,19,80,14,2021-08-28
15714,397,1842,157,2021-08-28
15716,42,153,21,2021-08-28
15720,9,35,-1,2021-08-28
15721,10,40,-1,2021-08-28
15722,173,576,81,2021-08-28
15724,144,580,67,2021-08-28
15728,167,810,123,2021-08-28
15729,69,323,34,2021-08-28
15730,5,16,-1,2021-08-28
15739,16,128,10,2021-08-28
15742,80,229,24,2021-08-28
15744,-1,18,5,2021-08-28
15750,14,48,9,2021-08-28
15753,25,83,14,2021-08-28
15757,89,295,49,2021-08-28
15758,-1,8,0,2021-08-28
15759,105,537,58,2021-08-28
15760,16,36,-1,2021-08-28
15762,51,257,21,2021-08-28
15763,0,-1,-1,2021-08-28
15764,-1,11,0,2021-08-28
15765,67,377,28,2021-08-28
15767,668,2818,338,2021-08-28
15770,11,37,-1,2021-08-28
15771,49,150,15,2021-08-28
15772,67,339,27,2021-08-28
15773,43,145,11,2021-08-28
15775,-1,0,0,2021-08-28
15776,-1,8,-1,2021-08-28
15777,10,40,10,2021-08-28
15778,-1,36,6,2021-08-28
15780,13,30,-1,2021-08-28
15784,9,33,0,2021-08-28
15801,1054,5150,831,2021-08-28
15821,9,17,-1,2021-08-28
15823,59,265,42,2021-08-28
15824,197,1044,195,2021-08-28
15825,582,2322,321,2021-08-28
15827,14,57,9,2021-08-28
15828,7,56,-1,2021-08-28
15829,65,252,46,2021-08-28
15832,8,63,-1,2021-08-28
15834,201,1123,90,2021-08-28
15840,64,388,51,2021-08-28
15845,173,676,102,2021-08-28
15846,126,655,132,2021-08-28
15848,37,178,31,2021-08-28
15849,46,286,33,2021-08-28
15851,258,1258,210,2021-08-28
15853,384,1644,214,2021-08-28
15856,39,160,24,2021-08-28
15857,699,2888,573,2021-08-28
15860,61,228,12,2021-08-28
15861,13,19,-1,2021-08-28
15864,99,392,53,2021-08-28
15865,42,239,47,2021-08-28
15866,5,34,12,2021-08-28
15868,90,305,63,2021-08-28
15870,56,216,51,2021-08-28
15901,326,1610,67,2021-08-28
15902,768,4242,270,2021-08-28
15904,1150,5429,501,2021-08-28
15905,1542,7649,663,2021-08-28
15906,702,3872,288,2021-08-28
15909,370,1886,148,2021-08-28
15920,64,316,23,2021-08-28
15924,74,307,36,2021-08-28
15926,177,766,70,2021-08-28
15927,73,392,40,2021-08-28
15928,136,680,103,2021-08-28
15931,985,3953,315,2021-08-28
15934,19,86,10,2021-08-28
15935,203,835,99,2021-08-28
15936,92,480,47,2021-08-28
15938,217,838,70,2021-08-28
15940,441,1036,542,2021-08-28
15942,124,696,84,2021-08-28
15943,292,1394,131,2021-08-28
15944,184,940,86,2021-08-28
15945,14,79,12,2021-08-28
15946,520,2228,260,2021-08-28
15949,51,212,25,2021-08-28
15951,43,237,27,2021-08-28
15952,76,455,58,2021-08-28
15953,5,22,-1,2021-08-28
15954,138,659,41,2021-08-28
15955,126,604,75,2021-08-28
15956,199,971,109,2021-08-28
15957,19,137,19,2021-08-28
15958,150,631,83,2021-08-28
15960,21,150,15,2021-08-28
15961,67,294,38,2021-08-28
15963,638,3412,492,2021-08-28
16020,63,267,32,2021-08-28
16022,30,98,23,2021-08-28
16025,368,1306,230,2021-08-28
16028,126,449,42,2021-08-28
16030,15,62,7,2021-08-28
16036,10,25,7,2021-08-28
16038,227,759,65,2021-08-28
16040,37,188,35,2021-08-28
16041,105,451,67,2021-08-28
16049,160,624,77,2021-08-28
16050,75,364,54,2021-08-28
16051,136,726,103,2021-08-28
16057,658,3442,308,2021-08-28
16061,117,578,85,2021-08-28
16101,2326,9340,951,2021-08-28
16102,343,1396,139,2021-08-28
16105,1069,4376,415,2021-08-28
16110,26,85,13,2021-08-28
16111,54,175,24,2021-08-28
16112,98,365,56,2021-08-28
16114,21,144,12,2021-08-28
16116,184,671,80,2021-08-28
16121,336,1340,84,2021-08-28
16124,89,455,29,2021-08-28
16125,1258,5613,281,2021-08-28
16127,1077,3878,349,2021-08-28
16130,126,404,32,2021-08-28
16131,42,197,17,2021-08-28
16133,71,306,17,2021-08-28
16134,217,1011,46,2021-08-28
16137,940,3820,220,2021-08-28
16142,356,1320,126,2021-08-28
16143,184,659,85,2021-08-28
16145,175,574,65,2021-08-28
16146,869,4339,266,2021-08-28
16148,1330,5246,499,2021-08-28
16150,438,2140,166,2021-08-28
16153,159,587,48,2021-08-28
16154,139,681,33,2021-08-28
16156,158,609,75,2021-08-28
16159,283,1161,114,2021-08-28
16172,54,265,41,2021-08-28
16213,10,26,-1,2021-08-28
16214,484,2284,209,2021-08-28
16217,-1,43,0,2021-08-28
16218,76,267,21,2021-08-28
16224,81,276,36,2021-08-28
16225,-1,17,-1,2021-08-28
16232,213,817,113,2021-08-28
16233,39,196,30,2021-08-28
16234,7,18,-1,2021-08-28
16235,71,261,58,2021-08-28
16239,1248,1873,46,2021-08-28
16240,77,291,39,2021-08-28
16242,358,987,120,2021-08-28
16248,162,662,84,2021-08-28
16253,9,41,-1,2021-08-28
16254,184,857,145,2021-08-28
16255,219,420,58,2021-08-28
16258,100,414,68,2021-08-28
16260,12,45,-1,2021-08-28
16301,938,3501,244,2021-08-28
16311,15,85,11,2021-08-28
16313,76,411,38,2021-08-28
16314,351,1204,159,2021-08-28
16316,287,1393,166,2021-08-28
16317,104,297,33,2021-08-28
16319,64,242,33,2021-08-28
16321,16,17,-1,2021-08-28
16323,1101,3761,322,2021-08-28
16326,15,82,10,2021-08-28
16327,164,608,59,2021-08-28
16329,23,98,7,2021-08-28
16331,5,14,6,2021-08-28
16332,-1,28,-1,2021-08-28
16333,11,44,-1,2021-08-28
16334,28,78,14,2021-08-28
16335,1861,9203,659,2021-08-28
16340,98,361,21,2021-08-28
16341,173,456,13,2021-08-28
16342,244,724,31,2021-08-28
16345,157,745,43,2021-08-28
16346,162,613,45,2021-08-28
16347,95,419,23,2021-08-28
16350,124,449,35,2021-08-28
16351,67,408,11,2021-08-28
16353,108,546,28,2021-08-28
16354,824,2801,69,2021-08-28
16360,63,312,24,2021-08-28
16362,49,226,16,2021-08-28
16364,56,201,25,2021-08-28
16365,1028,5001,300,2021-08-28
16371,215,979,145,2021-08-28
16372,24,106,16,2021-08-28
16373,187,638,72,2021-08-28
16374,75,314,24,2021-08-28
16401,256,840,41,2021-08-28
16402,42,142,5,2021-08-28
16403,1053,2001,85,2021-08-28
16404,147,606,16,2021-08-28
16405,35,154,7,2021-08-28
16406,270,1191,171,2021-08-28
16407,817,2527,135,2021-08-28
16410,110,374,24,2021-08-28
16411,96,302,10,2021-08-28
16412,665,2730,154,2021-08-28
16415,651,3006,95,2021-08-28
16417,654,2159,123,2021-08-28
16420,34,165,8,2021-08-28
16421,198,599,16,2021-08-28
16423,257,1084,25,2021-08-28
16424,261,988,76,2021-08-28
16426,264,979,33,2021-08-28
16428,856,3145,70,2021-08-28
16430,-1,24,0,2021-08-28
16433,399,1495,149,2021-08-28
16434,115,379,12,2021-08-28
16435,83,365,38,2021-08-28
16436,48,139,10,2021-08-28
16438,387,1713,65,2021-08-28
16440,57,201,18,2021-08-28
16441,655,2427,138,2021-08-28
16442,167,592,27,2021-08-28
16443,91,301,15,2021-08-28
16444,14,158,29,2021-08-28
16501,139,722,8,2021-08-28
16502,1158,4724,139,2021-08-28
16503,1066,4238,161,2021-08-28
16504,1208,4575,161,2021-08-28
16505,1064,5301,128,2021-08-28
16506,1697,7566,224,2021-08-28
16507,666,2665,65,2021-08-28
16508,1060,4892,179,2021-08-28
16509,1899,9136,381,2021-08-28
16510,1732,6971,220,2021-08-28
16511,939,3530,109,2021-08-28
16565,0,15,0,2021-08-28
16601,2788,9721,769,2021-08-28
16602,2212,8411,631,2021-08-28
16611,198,658,53,2021-08-28
16613,126,407,22,2021-08-28
16616,5,36,-1,2021-08-28
16617,214,774,61,2021-08-28
16620,34,107,10,2021-08-28
16621,58,173,17,2021-08-28
16622,22,61,8,2021-08-28
