ZIP_CODE,Positive,Negative,Probable,date
18349,0,24,0,2020-10-28
18351,-1,56,0,2020-10-28
18356,6,107,0,2020-10-28
18357,-1,14,0,2020-10-28
18410,-1,20,0,2020-10-28
18413,-1,29,0,2020-10-28
18416,0,5,0,2020-10-28
18420,0,22,0,2020-10-28
18440,-1,25,0,2020-10-28
18448,0,-1,0,2020-10-28
18449,0,0,0,2020-10-28
18454,-1,11,0,2020-10-28
18457,0,17,0,2020-10-28
18459,-1,14,0,2020-10-28
18473,0,57,0,2020-10-28
18501,30,63,0,2020-10-28
18502,0,9,0,2020-10-28
18515,0,-1,0,2020-10-28
18540,-1,-1,0,2020-10-28
18577,0,0,0,2020-10-28
18601,-1,22,0,2020-10-28
18602,10,79,0,2020-10-28
18611,-1,5,0,2020-10-28
18625,-1,54,0,2020-10-28
18626,-1,123,-1,2020-10-28
18627,0,23,0,2020-10-28
18653,0,8,0,2020-10-28
18654,0,-1,0,2020-10-28
18690,0,-1,0,2020-10-28
18703,-1,34,0,2020-10-28
18710,0,-1,0,2020-10-28
18711,53,33,6,2020-10-28
18762,0,0,0,2020-10-28
18764,0,6,0,2020-10-28
18765,0,0,0,2020-10-28
18766,0,12,-1,2020-10-28
18767,0,0,0,2020-10-28
18769,0,-1,0,2020-10-28
18773,0,0,0,2020-10-28
18813,0,9,0,2020-10-28
18814,-1,15,0,2020-10-28
18815,0,-1,0,2020-10-28
18816,0,11,0,2020-10-28
18820,0,-1,0,2020-10-28
18827,0,0,0,2020-10-28
18843,-1,17,0,2020-10-28
18910,0,45,0,2020-10-28
18911,5,55,-1,2020-10-28
18912,-1,78,-1,2020-10-28
18916,0,16,-1,2020-10-28
18918,0,-1,0,2020-10-28
18921,0,28,0,2020-10-28
18922,0,13,0,2020-10-28
18928,5,38,0,2020-10-28
18931,-1,41,0,2020-10-28
18935,-1,46,0,2020-10-28
18943,-1,20,0,2020-10-28
18946,0,25,0,2020-10-28
18949,-1,32,0,2020-10-28
18950,-1,88,-1,2020-10-28
18953,-1,32,0,2020-10-28
18956,0,9,0,2020-10-28
18957,0,13,0,2020-10-28
18958,0,14,0,2020-10-28
18962,-1,67,0,2020-10-28
18963,-1,63,0,2020-10-28
18968,0,19,0,2020-10-28
18970,8,107,0,2020-10-28
18971,-1,10,0,2020-10-28
18979,-1,14,0,2020-10-28
18980,-1,63,0,2020-10-28
18981,0,10,0,2020-10-28
18991,0,0,0,2020-10-28
19016,5,20,0,2020-10-28
19017,7,64,0,2020-10-28
19019,0,23,0,2020-10-28
19028,-1,33,0,2020-10-28
19037,212,226,30,2020-10-28
19039,0,19,0,2020-10-28
19048,-1,-1,0,2020-10-28
19049,0,-1,0,2020-10-28
19052,-1,38,0,2020-10-28
19058,-1,22,0,2020-10-28
19065,0,15,0,2020-10-28
19080,-1,10,0,2020-10-28
19088,0,6,0,2020-10-28
19089,0,-1,0,2020-10-28
19091,0,-1,0,2020-10-28
19092,0,-1,0,2020-10-28
19093,0,-1,0,2020-10-28
19098,0,0,0,2020-10-28
19099,0,-1,0,2020-10-28
19101,19,105,-1,2020-10-28
19105,7,52,0,2020-10-28
19108,-1,11,0,2020-10-28
19109,0,12,0,2020-10-28
19110,-1,10,0,2020-10-28
19155,0,11,0,2020-10-28
19160,-1,17,0,2020-10-28
19161,-1,-1,0,2020-10-28
19162,0,-1,0,2020-10-28
19170,0,-1,0,2020-10-28
19171,0,-1,0,2020-10-28
19172,-1,-1,0,2020-10-28
19173,0,0,0,2020-10-28
19175,0,-1,0,2020-10-28
19176,0,-1,0,2020-10-28
19177,0,0,0,2020-10-28
19178,0,-1,0,2020-10-28
19179,0,-1,0,2020-10-28
19181,0,-1,0,2020-10-28
19182,-1,-1,0,2020-10-28
19183,0,-1,0,2020-10-28
19184,0,-1,0,2020-10-28
19185,0,-1,0,2020-10-28
19187,0,0,0,2020-10-28
19188,0,-1,0,2020-10-28
19190,0,-1,0,2020-10-28
19191,0,-1,0,2020-10-28
19192,0,6,0,2020-10-28
19193,-1,-1,0,2020-10-28
19194,0,9,0,2020-10-28
19195,0,-1,0,2020-10-28
19196,-1,-1,0,2020-10-28
19197,0,0,0,2020-10-28
19244,0,-1,0,2020-10-28
19255,0,-1,0,2020-10-28
19316,0,19,0,2020-10-28
19318,0,7,0,2020-10-28
19331,0,11,0,2020-10-28
19339,0,-1,0,2020-10-28
