ZIP_CODE,Positive,Negative,Probable,date
15521,117,371,75,2021-09-01
15522,937,2728,372,2021-09-01
15530,505,1779,163,2021-09-01
15531,249,1068,124,2021-09-01
15533,90,269,44,2021-09-01
15534,54,142,29,2021-09-01
15535,118,350,61,2021-09-01
15536,23,116,15,2021-09-01
15537,612,1689,273,2021-09-01
15538,48,157,18,2021-09-01
15539,47,133,23,2021-09-01
15541,251,990,86,2021-09-01
15542,104,283,21,2021-09-01
15545,222,506,72,2021-09-01
15546,22,101,9,2021-09-01
15550,98,348,50,2021-09-01
15552,473,1811,126,2021-09-01
15554,148,495,92,2021-09-01
15555,6,34,-1,2021-09-01
15558,126,458,25,2021-09-01
15559,127,397,65,2021-09-01
15562,17,52,-1,2021-09-01
15563,189,800,101,2021-09-01
15564,6,18,-1,2021-09-01
15705,30,55,69,2021-09-01
15711,19,81,14,2021-09-01
15714,403,1845,158,2021-09-01
15716,42,155,21,2021-09-01
15720,9,35,-1,2021-09-01
15721,10,41,-1,2021-09-01
15722,174,579,81,2021-09-01
15724,145,581,67,2021-09-01
15728,168,817,123,2021-09-01
15729,70,326,34,2021-09-01
15730,5,16,-1,2021-09-01
15739,16,130,10,2021-09-01
15742,80,231,24,2021-09-01
15744,-1,19,5,2021-09-01
15750,15,49,10,2021-09-01
15753,25,83,14,2021-09-01
15757,89,296,49,2021-09-01
15758,-1,8,0,2021-09-01
15759,106,540,59,2021-09-01
15760,16,36,-1,2021-09-01
15762,51,259,23,2021-09-01
15763,0,-1,-1,2021-09-01
15764,-1,11,0,2021-09-01
15765,68,382,28,2021-09-01
15767,679,2837,338,2021-09-01
15770,11,37,-1,2021-09-01
15771,49,153,16,2021-09-01
15772,69,345,28,2021-09-01
15773,43,146,11,2021-09-01
15775,-1,0,0,2021-09-01
15776,-1,8,-1,2021-09-01
15777,10,40,10,2021-09-01
15778,-1,36,6,2021-09-01
15780,13,30,-1,2021-09-01
15784,9,34,0,2021-09-01
15801,1069,5184,837,2021-09-01
15821,9,18,-1,2021-09-01
15823,59,268,42,2021-09-01
15824,201,1056,195,2021-09-01
15825,591,2336,324,2021-09-01
15827,14,57,9,2021-09-01
15828,7,57,-1,2021-09-01
15829,67,253,46,2021-09-01
15832,8,63,-1,2021-09-01
15834,202,1126,91,2021-09-01
15840,64,389,52,2021-09-01
15845,174,681,102,2021-09-01
15846,134,663,137,2021-09-01
